Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22)
0.00011591851422950419,0.05595639656,0.054,0.0,0.0,6.155768823661704e-05,0.8601822912327686,0.0,0.0,0.0,0.06599990954278448,0.0,0.03963541753445768,9.045721568648451e-08
0.00011632402437295514,0.05595639656,0.054,0.0,0.0,6.134346930485877e-05,0.860182183965892,0.0,0.0,0.0,0.0659999098576057,0.0,0.03963563206821067,9.014239445507078e-08
0.0001167295345164061,0.05595639656,0.054,0.0,0.0,6.113073617995801e-05,0.8601820774430109,0.0,0.0,0.0,0.0659999101702431,0.0,0.039635845113972994,8.982975702766397e-08
0.00011713504465985705,0.05595639656,0.054,0.0,0.0,6.0919473456987744e-05,0.8601819716564112,0.0,0.0,0.0,0.0659999104807194,0.0,0.03963605668717223,8.951928075946392e-08
0.00011754055480330801,0.05595639656,0.054,0.0,0.0,6.0709665943246807e-05,0.8601818665984857,0.0,0.0,0.0,0.06599991078905683,0.0,0.03963626680302341,8.921094331898874e-08
0.00011794606494675896,0.05595639656,0.054,0.0,0.0,6.050129865461965e-05,0.860181762261731,0.0,0.0,0.0,0.06599991109527745,0.0,0.039636475476532686,8.890472268088309e-08
0.00011835157509020992,0.05595639656,0.054,0.0,0.0,6.0294356812009425e-05,0.860181658638747,0.0,0.0,0.0,0.06599991139940302,0.0,0.03963668272250085,8.860059712012504e-08
0.00011875708523366087,0.05595639656,0.054,0.0,0.0,6.0088825837840907e-05,0.860181555722234,0.0,0.0,0.0,0.06599991170145492,0.0,0.039636888555526925,8.829854520944948e-08
0.00011916259537711182,0.05595639656,0.054,0.0,0.0,5.988469135263885e-05,0.8601814535049914,0.0,0.0,0.0,0.06599991200145433,0.0,0.03963709299001154,8.799854581269517e-08
0.00011956810552056278,0.05595639656,0.054,0.0,0.0,5.968193917167594e-05,0.8601813519799171,0.0,0.0,0.0,0.06599991229942206,0.0,0.03963729604016023,8.770057807838975e-08
0.00011997361566401373,0.05595639656,0.054,0.0,0.0,5.948055530168369e-05,0.8601812511400039,0.0,0.0,0.0,0.0659999125953787,0.0,0.039637497719986856,8.740462143805358e-08
