Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52),N2X2(77),NO2JX(53)
1.4026246343034692e-07,0.08314471999999999,1.8553000585501543e-06,0.010721436097192753,3.1712134643490216e-09,8.315073936370823e-07,3.465485845469047e-06,0.00010415802190641567,0.00019420569518822478,9.262325470620502e-09,1.451658984706436e-15,1.522353293501445e-34,7.176711670390458e-08,0.054,0.0,0.0,0.04758576351318705,0.8737161308934618,0.00140204670038874,0.00019285917602744068,6.32339431882941e-05,0.06506139356424881,4.1466095201872716e-08,1.7038740769147531e-06,0.00018586078452072108,6.4962104151579656e-09,4.948360243896611e-10
1.4051843297747408e-07,0.08314471999999999,1.854623374806873e-06,0.010737405243856347,3.164049098512963e-09,8.315637170819983e-07,3.457852784954712e-06,0.00010407034420592858,0.00019440735984018205,9.25882522854669e-09,1.4555067544846303e-15,1.5235952950227676e-34,7.179239302244769e-08,0.054,0.0,0.0,0.047569433312138164,0.8737068821123981,0.0014041562402134966,0.00019339880037904397,6.332180680388078e-05,0.06505999139003317,4.1590295781283486e-08,1.7008911389173593e-06,0.00018598992674857966,6.4978621710087965e-09,4.962577163208327e-10
1.4077440252460124e-07,0.08314471999999999,1.853947199962588e-06,0.010753363963966643,3.156912403286165e-09,8.316191895708717e-07,3.4502485972518958e-06,0.00010398277799546668,0.00019460862134097206,9.25532804268865e-09,1.4593527348517346e-15,1.5248308280097444e-34,7.181752653785998e-08,0.054,0.0,0.0,0.04755311473686969,0.873697639774765,0.0014062642842980083,0.0001939383438879861,6.340958246254124e-05,0.06505859020019061,4.1714520327723e-08,1.6979172408975711e-06,0.0001861185964818463,6.499495767973544e-09,4.976802808800188e-10
1.410303720717284e-07,0.08314471999999999,1.8532715333945472e-06,0.010769312265815786,3.1498032243137493e-09,8.316738149025946e-07,3.442673123632323e-06,0.00010389532347451883,0.00019480948121434555,9.251833906186523e-09,1.4631969158216451e-15,1.5260599176228746e-34,7.184251778795499e-08,0.054,0.0,0.0,0.04753680777367988,0.8736884038736686,0.0014083708343028114,0.0001944778051395063,6.349727053089279e-05,0.06505718999367968,4.183876850106504e-08,1.694952342067937e-06,0.00018624679566157544,6.501111316346921e-09,4.991037162658564e-10
1.4154231116598272e-07,0.08314471999999999,1.8519217226029577e-06,0.01080117764790702,3.135666803356139e-09,8.317805391935936e-07,3.427607689486555e-06,0.00010372075027102908,0.00019521000213555985,9.244854754028716e-09,1.470879840088409e-15,1.528498867042579e-34,7.18920756323366e-08,0.054,0.0,0.0,0.0475042286288807,0.8736699513535612,0.0014125794587012987,0.00019555647526751452,6.367238535395337e-05,0.06505439252649418,4.2087334379279085e-08,1.6890493800772492e-06,0.00018650179007474252,6.504288704781171e-09,5.019531923553062e-10
1.4205425026023705e-07,0.08314471999999999,1.8505739374770709e-06,0.010833001456497382,3.1216386232316814e-09,8.318839199612435e-07,3.412655235566287e-06,0.0001035466260800824,0.00019560893464127852,9.237887718045397e-09,1.4785554492376984e-15,1.53091234301758e-34,7.194107081376592e-08,0.054,0.0,0.0,0.0474716957687304,0.8736515244971307,0.0014167821266368253,0.00019663479966887566,6.384715416939096e-05,0.06505159898017386,4.233599073999786e-08,1.6831819316094133e-06,0.00018675492531774045,6.507395203875955e-09,5.048061303504343e-10
1.4251499544506593e-07,0.08314471999999999,1.849362658729846e-06,0.010861607393755697,3.1091048191686797e-09,8.319741284947571e-07,3.399293608998296e-06,0.00010339029937118864,0.00019596662565284922,9.231627700866713e-09,1.4854571797093383e-15,1.5330628555629402e-34,7.198468889128592e-08,0.054,0.0,0.0,0.04744245567825845,0.8736349622235077,0.001420559445899665,0.00019760498700661675,6.400415263721463e-05,0.0650490881339812,4.255985664418423e-08,1.6779313296148827e-06,0.00018698116998923248,6.5101311503184195e-09,5.073767228161953e-10
1.429757406298948e-07,0.08314471999999999,1.8481530131933624e-06,0.010890179758664766,3.096656863141204e-09,8.320616742819613e-07,3.3860216169830282e-06,0.00010323433845663329,0.00019632304830651876,9.22537741610145e-09,1.4923528680241318e-15,1.5351930389467737e-34,7.20278576874115e-08,0.054,0.0,0.0,0.04741325291164354,0.8736184206532683,0.0014243319606858968,0.00019857487762143283,6.416087523216342e-05,0.06504658045096152,4.2783791799504086e-08,1.6727090076654274e-06,0.00018720593197765038,6.512810985808414e-09,5.099500978109779e-10
1.434364858147237e-07,0.08314471999999999,1.8469449972994582e-06,0.010918718599647803,3.0842939072824327e-09,8.321465785730669e-07,3.372838387188135e-06,0.00010307874424307464,0.00019667821112920195,9.219136825719315e-09,1.499242460256852e-15,1.5373030359128042e-34,7.207058023400496e-08,0.054,0.0,0.0,0.047384087390402244,0.8736018997466993,0.0014280996805460205,0.00019954446378718586,6.431732400594839e-05,0.06504407592510902,4.3007794328144075e-08,1.6675147395081017e-06,0.0001874292221350838,6.5154353188791e-09,5.125262452316774e-10
1.4389723099955258e-07,0.08314471999999999,1.8457386074936634e-06,0.01094722396513854,3.07201511470635e-09,8.322288624256036e-07,3.359743058480868e-06,0.00010292351758443063,0.0001970321225709205,9.212905892097825e-09,1.5061259033940123e-15,1.5393929883122612e-34,7.211285954047281e-08,0.054,0.0,0.0,0.047354959036356704,0.873585399464194,0.0014318626150016337,0.000200513737888769,6.44735009917644e-05,0.06504157455043272,4.323186237473372e-08,1.662348301343298e-06,0.00018765105121368062,6.518004750707503e-09,5.151051550599479e-10
