Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20)
1.1112073737134058e-10,0.08314471999999999,2.3323403608036047e-06,1.2422015699708813e-05,8.489823981336198e-07,4.91817309416755e-09,6.975391455701527e-08,1.0002820280694285e-11,8.572260551927601e-18,1.3588230704153038e-13,1.6277241141708637e-25,7.053404347278342e-32,1.1990638651018386e-11,0.054,0.0,0.0,0.05896857791823373,0.8799937863326136,3.887691041956381e-10,1.484286655827762e-25,7.108621581963099e-20,0.06599674891318756,3.52387237785121e-22,9.828008149191747e-07
1.1122758395532716e-10,0.08314471999999999,2.3323398144404193e-06,1.2433951730829338e-05,8.496238938319039e-07,4.926945272754472e-09,6.994631029999778e-08,1.0043267755344106e-11,8.616078061472508e-18,1.3642026529498562e-13,-4.296396002079155e-24,5.4114087441066946e-30,1.2025117871002809e-11,0.054,0.0,0.0,0.058968564125430785,0.8799937803594472,3.902637883434849e-10,1.4977335919035208e-25,7.151911047691805e-20,0.0659967480798015,3.5684648283792346e-22,9.838153940165745e-07
1.1133443053931374e-10,0.08314471999999999,2.332339268090346e-06,1.244588774672881e-05,8.50264925505393e-07,4.935722728354383e-09,7.013903542169493e-08,1.0083840113719638e-11,8.660074975491753e-18,1.369597789303391e-13,3.6220756065399265e-24,-1.4065915278520295e-30,1.2059654734831019e-11,0.054,0.0,0.0,0.05896855033259095,0.8799937743862835,3.917626877236336e-10,1.5112894440284021e-25,7.195420302969342e-20,0.06599674724654994,3.489280170769905e-22,9.848301544016058e-07
1.1144127712330032e-10,0.08314471999999999,2.3323387217533797e-06,1.2457823747408485e-05,8.509054928923185e-07,4.944505452320174e-09,7.033209009415234e-08,1.0124537620298295e-11,8.70425184284738e-18,1.375008506798628e-13,-1.181536257668309e-24,2.400549444969408e-31,1.2094249244072483e-11,0.054,0.0,0.0,0.05896853653971424,0.8799937684131227,3.9326580970168406e-10,1.5249549896743593e-25,7.239150238822401e-20,0.06599674641343299,3.5373161473443007e-22,9.858450961513026e-07
1.115481237072869e-10,0.08314471999999999,2.3323381754295154e-06,1.2469759732869633e-05,8.515455957313865e-07,4.953293436001772e-09,7.052547448905323e-08,1.016536053984594e-11,8.748609213494556e-18,1.380434832769026e-13,-3.154644541250035e-25,-6.584649160492531e-31,1.2128901400126011e-11,0.054,0.0,0.0,0.05896852274680068,0.8799937624399646,3.947731616468987e-10,1.5387310111125917e-25,7.283101748959255e-20,0.06599674558045071,3.528655510291335e-22,9.868602193424466e-07
1.1165497029127348e-10,0.08314471999999999,2.332337629118745e-06,1.2481695703113516e-05,8.521852337617788e-07,4.962086670746128e-09,7.071918877771829e-08,1.0206309137416814e-11,8.793147638494942e-18,1.385876794558735e-13,4.70437894215393e-25,6.313783305610672e-31,1.2163611204219735e-11,0.054,0.0,0.0,0.058968508953850286,0.8799937564668096,3.962847509321926e-10,1.5526182954380723e-25,7.32727572977479e-20,0.0659967447476032,3.520796445139709e-22,9.87875524051566e-07
1.1176181687526006e-10,0.08314471999999999,2.3323370828210622e-06,1.249363165814139e-05,8.528244067231535e-07,4.970885147897246e-09,7.091323313110555e-08,1.0247383678353398e-11,8.837867669988937e-18,1.3913344195225542e-13,-1.9581592568826086e-25,-3.5591276333036093e-31,1.2198378657411081e-11,0.054,0.0,0.0,0.05896849516086307,0.8799937504936571,3.978005849341233e-10,1.5666176345941995e-25,7.37167308035557e-20,0.06599674391489058,3.527458982085928e-22,9.88891010354937e-07
1.1186866345924664e-10,0.08314471999999999,2.3323365365364586e-06,1.2505567597954523e-05,8.534631143556443e-07,4.9796888587961855e-09,7.110760771981029e-08,1.0288584428286371e-11,8.882769861209776e-18,1.396807735025885e-13,3.1995135758662333e-27,2.669674464180193e-31,1.223320376058677e-11,0.054,0.0,0.0,0.05896848136783906,0.8799937445205077,3.9932067103288054e-10,1.5807298253978264e-25,7.416294702484954e-20,0.06599674308231289,3.525468829102275e-22,9.899066783285835e-07
1.1208235662721979e-10,0.08314471999999999,2.3323354440064543e-06,1.2529439431941601e-05,8.547391325968915e-07,4.9973119471871965e-09,7.149734828373845e-08,1.0371365619104486e-11,8.973122941222667e-18,1.4078015471653242e-13,-2.7134087087380788e-27,-2.152872470026129e-37,1.2303026919584391e-11,0.054,0.0,0.0,0.058968453781680745,0.8799937325742172,4.0237362905970954e-10,1.6092959737885526e-25,7.506214382048932e-20,0.06599674141756273,3.5255281173777604e-22,9.919385595895332e-07
1.1229604979519293e-10,0.08314471999999999,2.3323343515286585e-06,1.2553311205084833e-05,8.560132864161208e-07,5.01495586658939e-09,7.188841182700513e-08,1.0454654840677218e-11,9.064211326222991e-18,1.418858450110544e-13,8.296049575310197e-28,1.0791544458269128e-31,1.2373080684891643e-11,0.054,0.0,0.0,0.0589684261953755,0.8799937206279379,4.054436841264427e-10,1.6383232135871339e-25,7.59704203686708e-20,0.06599673975335346,3.5254916911372355e-22,9.93971168437551e-07
