Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49)
0.00017186388740534782,0.05595639656,0.054,0.0,0.0,4.15430571190408e-05,0.8601722692107185,0.0,0.0,0.0,0.06599993895577264,0.0,0.03965546157852392,6.104422763118611e-08,9.89560384576055e-15
0.00017233323916549106,0.05595639656,0.054,0.0,0.0,4.1430048184213646e-05,0.8601722126232164,0.0,0.0,0.0,0.06599993912184197,0.0,0.039655574753528086,6.08781582799821e-08,9.895660329108531e-15
0.0001728025909256343,0.05595639656,0.054,0.0,0.0,4.131765242172889e-05,0.860172156342751,0.0,0.0,0.0,0.0659999392870102,0.0,0.0396556873144588,6.071299006315026e-08,9.895716506144223e-15
0.00017327194268577754,0.05595639656,0.054,0.0,0.0,4.1205864854554606e-05,0.8601721003668302,0.0,0.0,0.0,0.06599993945128457,0.0,0.03965579926630037,6.054871566638884e-08,9.895772379352954e-15
0.00017374129444592079,0.05595639656,0.054,0.0,0.0,4.1094680559378204e-05,0.8601720446929889,0.0,0.0,0.0,0.06599993961467239,0.0,0.03965591061398335,6.038532785382315e-08,9.895827951194073e-15
0.00017421064620606403,0.05595639656,0.054,0.0,0.0,4.0984094665883855e-05,0.8601719893187877,0.0,0.0,0.0,0.06599993977718079,0.0,0.03965602136238524,6.022281946668327e-08,9.895883224097778e-15
0.00017467999796620727,0.05595639656,0.054,0.0,0.0,4.0874102356039126e-05,0.8601719342418149,0.0,0.0,0.0,0.06599993993881682,0.0,0.039656131516331114,6.006118342435918e-08,9.895938200469798e-15
0.0001751493497263505,0.05595639656,0.054,0.0,0.0,4.0764698863397e-05,0.8601718794596832,0.0,0.0,0.0,0.06599994009958751,0.0,0.03965624108059448,5.990041272180164e-08,9.895992882691858e-15
0.00017561870148649376,0.05595639656,0.054,0.0,0.0,4.0655879472408124e-05,0.8601718249700314,0.0,0.0,0.0,0.06599994025949983,0.0,0.03965635005989775,5.97405004275023e-08,9.896047273116568e-15
0.000176088053246637,0.05595639656,0.054,0.0,0.0,4.054763951774078e-05,0.8601717707705238,0.0,0.0,0.0,0.06599994041856055,0.0,0.039656458458913156,5.958143968519167e-08,9.896101374072995e-15
0.00017655740500678024,0.05595639656,0.054,0.0,0.0,4.0439974383615206e-05,0.8601717168588486,0.0,0.0,0.0,0.06599994057677652,0.0,0.03965656628226326,5.9423223711617344e-08,9.896155187868544e-15
0.00017702675676692348,0.05595639656,0.054,0.0,0.0,4.033287950314952e-05,0.8601716632327195,0.0,0.0,0.0,0.06599994073415444,0.0,0.03965667353452164,5.92658457935995e-08,9.896208716781337e-15
0.00017749610852706672,0.05595639656,0.054,0.0,0.0,4.022635035771078e-05,0.8601716098898735,0.0,0.0,0.0,0.06599994089070095,0.0,0.0396567802202136,5.91092992902643e-08,9.896261963066476e-15
0.00017796546028720997,0.05595639656,0.054,0.0,0.0,4.0120382476279966e-05,0.8601715568280721,0.0,0.0,0.0,0.0659999410464226,0.0,0.03965688634381668,5.895357763154588e-08,9.896314928960218e-15
0.0001784348120473532,0.05595639656,0.054,0.0,0.0,4.001497143482963e-05,0.8601715040450998,0.0,0.0,0.0,0.0659999412013259,0.0,0.039656991909761456,5.879867431412485e-08,9.896367616669227e-15
0.00017890416380749645,0.05595639656,0.054,0.0,0.0,3.9910112855704744e-05,0.8601714515387644,0.0,0.0,0.0,0.06599994135541731,0.0,0.03965709692243199,5.864458290396309e-08,9.896420028377065e-15
0.0001793735155676397,0.05595639656,0.054,0.0,0.0,3.9805802407016167e-05,0.8601713993068971,0.0,0.0,0.0,0.06599994150870318,0.0,0.03965720138616654,5.8491297035950854e-08,9.896472166251918e-15
0.00017984286732778293,0.05595639656,0.054,0.0,0.0,3.97020358020484e-05,0.8601713473473512,0.0,0.0,0.0,0.06599994166118982,0.0,0.039657305305258135,5.833881040861336e-08,9.896524032432033e-15
0.00018031221908792618,0.05595639656,0.054,0.0,0.0,3.959880879866915e-05,0.8601712956580029,0.0,0.0,0.0,0.0659999418128834,0.0,0.03965740868395514,5.8187116786559646e-08,9.896575629031555e-15
0.00018078157084806942,0.05595639656,0.054,0.0,0.0,3.949611719874905e-05,0.8601712442367495,0.0,0.0,0.0,0.06599994196379019,0.0,0.03965751152646183,5.803621000174336e-08,9.896626958153522e-15
0.00018125092260821266,0.05595639656,0.054,0.0,0.0,3.9393956847598164e-05,0.8601711930815108,0.0,0.0,0.0,0.06599994211391626,0.0,0.03965761383693905,5.788608394695751e-08,9.896678021870889e-15
0.0001817202743683559,0.05595639656,0.054,0.0,0.0,3.929232363340311e-05,0.860171142190228,0.0,0.0,0.0,0.06599994226326761,0.0,0.03965771561950462,5.7736732577635955e-08,9.896728822230204e-15
0.00018218962612849915,0.05595639656,0.054,0.0,0.0,3.919121348667115e-05,0.8601710915608635,0.0,0.0,0.0,0.06599994241185028,0.0,0.03965781687823401,5.7588149915197405e-08,9.896779361272089e-15
0.0001826589778886424,0.05595639656,0.054,0.0,0.0,3.909062237969373e-05,0.8601710411914001,0.0,0.0,0.0,0.06599994255967016,0.0,0.03965791761716086,5.74403300395466e-08,9.896829641007486e-15
0.00018312832964878563,0.05595639656,0.054,0.0,0.0,3.899054632601043e-05,0.8601709910798419,0.0,0.0,0.0,0.06599994270673312,0.0,0.03965801784027749,5.7293267089490485e-08,9.89687966341684e-15
0.00018359768140892887,0.05595639656,0.054,0.0,0.0,3.88909813798758e-05,0.8601709412242128,0.0,0.0,0.0,0.06599994285304493,0.0,0.03965811755153544,5.714695526856542e-08,9.89692943048084e-15
0.00018406703316907211,0.05595639656,0.054,0.0,0.0,3.87919236357479e-05,0.8601708916225577,0.0,0.0,0.0,0.06599994299861137,0.0,0.03965821675484601,5.700138883702783e-08,9.896978944152004e-15
0.00018448944975320102,0.05595639656,0.054,0.0,0.0,3.870320212781252e-05,0.860170847196615,0.0,0.0,0.0,0.06599994312898855,0.0,0.039658305606731115,5.687101165678728e-08,9.89702329138837e-15
0.00018491186633732992,0.05595639656,0.054,0.0,0.0,3.861488553061282e-05,0.8601708029734253,0.0,0.0,0.0,0.06599994325877066,0.0,0.03965839405311044,5.67412295359075e-08,9.89706743632882e-15
0.00018533428292145883,0.05595639656,0.054,0.0,0.0,3.852697107851527e-05,0.8601707589516038,0.0,0.0,0.0,0.06599994338796179,0.0,0.039658482096753656,5.6612038412510514e-08,9.89711138036861e-15
0.00018575669950558773,0.05595639656,0.054,0.0,0.0,3.843945603102296e-05,0.8601707151297778,0.0,0.0,0.0,0.06599994351656595,0.0,0.03965856974040531,5.648343425468939e-08,9.8971551248536e-15
0.00018617911608971664,0.05595639656,0.054,0.0,0.0,3.8352337672478054e-05,0.860170671506588,0.0,0.0,0.0,0.06599994364458715,0.0,0.03965865698678504,5.63554130717021e-08,9.897198671144199e-15
0.00018655929101543266,0.05595639656,0.054,0.0,0.0,3.82742680941432e-05,0.8601706324144368,0.0,0.0,0.0,0.06599994375931102,0.0,0.03965873517108726,5.624068918328583e-08,9.897237694472375e-15
0.00018693946594114868,0.05595639656,0.054,0.0,0.0,3.819651570878063e-05,0.8601705934811155,0.0,0.0,0.0,0.06599994387356874,0.0,0.039658813037730355,5.612643144287921e-08,9.897276559325542e-15
0.0001873196408668647,0.05595639656,0.054,0.0,0.0,3.811907858718814e-05,0.8601705547056573,0.0,0.0,0.0,0.06599994398736317,0.0,0.039658890588646384,5.601263701268781e-08,9.897315266656815e-15
0.00018769981579258073,0.05595639656,0.054,0.0,0.0,3.804195481577071e-05,0.8601705160871045,0.0,0.0,0.0,0.06599994410069711,0.0,0.03965896782575172,5.5899303084423275e-08,9.897353817447758e-15
0.00018807999071829675,0.05595639656,0.054,0.0,0.0,3.7965142496392066e-05,0.8601704776245067,0.0,0.0,0.0,0.0659999442135733,0.0,0.03965904475094732,5.5786426868342176e-08,9.897392212635447e-15
0.00018842214815144117,0.05595639656,0.054,0.0,0.0,3.789627614396966e-05,0.8601704431407308,0.0,0.0,0.0,0.06599994431477288,0.0,0.03965911371849929,5.568522732669669e-08,9.897426636025369e-15
0.0001887643055845856,0.05595639656,0.054,0.0,0.0,3.7827659180315206e-05,0.8601704087818327,0.0,0.0,0.0,0.06599994441560589,0.0,0.03965918243629597,5.5584394287351404e-08,9.897460934824953e-15
