Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12)
4.247802258548861e-12,0.066515776,0.938,0.0,8.341317393784181e-09,0.0,1.404524923755666e-16,5.547598005140195e-10,0.0,0.0,0.0393615990853163,0.009999995829341272,0.049999460643636646,0.0,0.0,0.0019999994452402007,0.0,5.393563633114031e-07
4.280768347974882e-12,0.066515776,0.938,0.0,8.406051441609846e-09,0.0,1.4334039219878811e-16,5.590610171122126e-10,0.0,0.0,0.0393615968407247,0.009999995796974246,0.04999945846808031,0.0,0.0,0.001999999440938984,0.0,5.415319196536578e-07
4.313734437400903e-12,0.066515776,0.938,0.0,8.470785481858865e-09,0.0,1.4626227861738133e-16,5.633621702721658e-10,0.0,0.0,0.03936159461603442,0.009999995764607228,0.04999945631242522,0.0,0.0,0.001999999436637831,0.0,5.436875747395448e-07
4.3467005268269245e-12,0.066515776,0.938,0.0,8.535519514596361e-09,0.0,1.4921822305359563e-16,5.676632599969801e-10,0.0,0.0,0.03936159241106342,0.00999999573224021,0.04999945417648934,0.0,0.0,0.001999999432336741,0.0,5.45823510618937e-07
4.379666616252946e-12,0.066515776,0.938,0.0,8.600253539886871e-09,0.0,1.5220829546545088e-16,5.719642862897362e-10,0.0,0.0,0.0393615902256313,0.009999995699873197,0.049999452060092285,0.0,0.0,0.0019999994280357146,0.0,5.479399076763783e-07
4.412632705678967e-12,0.066515776,0.938,0.0,8.664987557794325e-09,0.0,1.5523256436755029e-16,5.762652491534958e-10,0.0,0.0,0.039361588059559346,0.009999995667506187,0.04999944996305532,0.0,0.0,0.0019999994237347523,0.0,5.500369446463162e-07
4.445598795104988e-12,0.066515776,0.938,0.0,8.729721568382083e-09,0.0,1.5829109685163385e-16,5.805661485913002e-10,0.0,0.0,0.03936158591267046,0.00999999563513918,0.04999944788520133,0.0,0.0,0.001999999419433853,0.0,5.521147986281966e-07
4.478564884531009e-12,0.066515776,0.938,0.0,8.794455571712917e-09,0.0,1.6138395860687763e-16,5.848669846061724e-10,0.0,0.0,0.039361583784789135,0.009999995602772177,0.04999944582635485,0.0,0.0,0.0019999994151330166,0.0,5.541736451014205e-07
4.51153097395703e-12,0.066515776,0.938,0.0,8.859189567849032e-09,0.0,1.6451121393993997e-16,5.891677572011151e-10,0.0,0.0,0.039361581675741525,0.009999995570405177,0.04999944378634201,0.0,0.0,0.001999999410832244,0.0,5.562136579401634e-07
4.5444970633830514e-12,0.066515776,0.938,0.0,8.923923556852059e-09,0.0,1.6767292579475842e-16,5.93468466379113e-10,0.0,0.0,0.039361579585355334,0.009999995538038181,0.04999944176499052,0.0,0.0,0.001999999406531535,0.0,5.582350094280597e-07
4.577463152809073e-12,0.066515776,0.938,0.0,8.988657538783066e-09,0.0,1.7086915577210043e-16,5.97769112143131e-10,0.0,0.0,0.03936157751345985,0.009999995505671192,0.04999943976212967,0.0,0.0,0.0019999994022308894,0.0,5.602378702727515e-07
4.610429242235094e-12,0.066515776,0.938,0.0,9.053391513702565e-09,0.0,1.7409996414887033e-16,6.020696944961165e-10,0.0,0.0,0.03936157545988595,0.009999995473304204,0.04999943777759032,0.0,0.0,0.001999999397930307,0.0,5.62222409620307e-07
4.643395331661115e-12,0.066515776,0.938,0.0,9.11812548167052e-09,0.0,1.7736540989717516e-16,6.063702134409978e-10,0.0,0.0,0.03936157342446601,0.00999999544093722,0.04999943581120486,0.0,0.0,0.0019999993936297878,0.0,5.641887950695027e-07
4.676361421087136e-12,0.066515776,0.938,0.0,9.182859442746328e-09,0.0,1.8066555070315282e-16,6.106706689806844e-10,0.0,0.0,0.03936157140703398,0.00999999540857024,0.049999433862807245,0.0,0.0,0.001999999389329332,0.0,5.661371926859803e-07
4.709327510513157e-12,0.066515776,0.938,0.0,9.247593396988871e-09,0.0,1.8400044298556467e-16,6.149710611180686e-10,0.0,0.0,0.0393615694074253,0.009999995376203262,0.04999943193223292,0.0,0.0,0.0019999993850289403,0.0,5.680677670162688e-07
4.7422935999391784e-12,0.066515776,0.938,0.0,9.312327344456466e-09,0.0,1.8737014191415583e-16,6.19271389856024e-10,0.0,0.0,0.03936156742547693,0.009999995343836289,0.04999943001931883,0.0,0.0,0.0019999993807286115,0.0,5.699806811016832e-07
4.7752596893652e-12,0.066515776,0.938,0.0,9.377061285206915e-09,0.0,1.9077470142778544e-16,6.235716551974068e-10,0.0,0.0,0.03936156546102734,0.009999995311469315,0.04999942812390345,0.0,0.0,0.001999999376428346,0.0,5.718760964920908e-07
4.808225778791221e-12,0.066515776,0.938,0.0,9.441795219297484e-09,0.0,1.942141742523297e-16,6.278718571450557e-10,0.0,0.0,0.039361563513916425,0.009999995279102347,0.04999942624582667,0.0,0.0,0.001999999372128144,0.0,5.737541732595573e-07
4.841191868217242e-12,0.066515776,0.938,0.0,9.506529146784916e-09,0.0,1.9768861191836055e-16,6.321719957017913e-10,0.0,0.0,0.0393615615839856,0.009999995246735381,0.049999424384929915,0.0,0.0,0.001999999367828005,0.0,5.756150700118638e-07
4.874157957643263e-12,0.066515776,0.938,0.0,9.571263067725437e-09,0.0,2.011980647786022e-16,6.364720708704175e-10,0.0,0.0,0.03936155967107771,0.00999999521436842,0.049999422541056014,0.0,0.0,0.0019999993635279305,0.0,5.774589439059014e-07
4.907124047069284e-12,0.066515776,0.938,0.0,9.635996982174754e-09,0.0,2.0474258202516848e-16,6.407720826537205e-10,0.0,0.0,0.03936155777503702,0.009999995182001462,0.04999942071404926,0.0,0.0,0.001999999359227919,0.0,5.792859506609443e-07
