Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),H2O_X(16),He,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
3.089395137289399e-07,0.041572359999999996,0.00044541109754745183,0.008896227124588202,3.013095355652589e-18,2.174215356618252e-12,3.0486464740906493e-12,1.9256128212935365e-12,3.911947315409918e-20,1.165191649346635e-19,4.0702946594588823e-14,0.054,0.0,0.005404671458606121,0.8755518864341951,4.8092567628698525e-12,1.1683284738049905e-29,6.375498740087692e-30,0.06555458889747821,2.4411821706612963e-37
3.104972514881175e-07,0.041572359999999996,0.00044405554722087376,0.008913876560578132,3.0039225606355736e-18,2.1748969615955323e-12,3.0547147163252962e-12,1.947843032030248e-12,3.990965433549326e-20,1.1721240682607105e-19,4.072934496805742e-14,0.054,0.0,0.005388377572913761,0.8755430617161803,4.848303117639471e-12,1.2035541318200121e-29,6.526834300871564e-30,0.06555594444777647,2.5355772955672463e-37
3.118992154713774e-07,0.041572359999999996,0.0004428425948980074,0.008929670160974575,2.9957146897658156e-18,2.1754926928385845e-12,3.0600751129688882e-12,1.9679253062609593e-12,4.062993565284302e-20,1.180610367111416e-19,4.0752440835993665e-14,0.054,0.0,0.0053737969248141264,0.8755351649159642,4.883465961964732e-12,1.2359536167412875e-29,6.665290091963849e-30,0.0655571574000739,2.6231025211328744e-37
3.1330117945463723e-07,0.041572359999999996,0.0004416362582102483,0.008945378377750373,2.987551558669309e-18,2.1760718030870577e-12,3.0653404127192495e-12,1.9880779926015373e-12,4.135890225601417e-20,1.188453233683406e-19,4.077491444273764e-14,0.054,0.0,0.005359295044700066,0.8755273108075584,4.9186482602912045e-12,1.269022339133006e-29,6.805902223018287e-30,0.06555836373673624,2.713118204476742e-37
3.147031434378971e-07,0.041572359999999996,0.00044043648313932493,0.008961001901860317,2.979432818615968e-18,2.176634444333115e-12,3.070511203072242e-12,2.0083003972905316e-12,4.209659913649033e-20,1.1946238993592483e-19,4.079677105433282e-14,0.054,0.0,0.005344871295635067,0.8755194990454855,4.953849478107411e-12,1.3027695069319644e-29,6.948691157933856e-30,0.06555956351178177,2.805679271594728e-37
3.1596491102283093e-07,0.041572359999999996,0.00043936225158480946,0.008974991226408472,2.9721636005504427e-18,2.177126864362029e-12,3.075084595375394e-12,2.026559598253446e-12,4.2768027683765556e-20,1.20147742188502e-19,4.08159187761496e-14,0.054,0.0,0.005331956202618087,0.8755125043831953,4.985546312176589e-12,1.3337296778886792e-29,7.079079315514525e-30,0.06556063774331347,2.8912065957244956e-37
3.172266786077648e-07,0.041572359999999996,0.0004382932531027122,0.008988912996837638,2.9649297792923395e-18,2.177606173732641e-12,3.0795823424920562e-12,2.044874206037641e-12,4.344659638832635e-20,1.2080365755904744e-19,4.083457469966491e-14,0.054,0.0,0.005319103430647703,0.8755055434979647,5.017257658417638e-12,1.3652536668873386e-29,7.21126227413061e-30,0.06556170674177277,2.978882044336016e-37
3.1848844619269864e-07,0.041572359999999996,0.0004372294495179019,0.009002767701588813,2.957731096084293e-18,2.178072478946161e-12,3.0840048757721644e-12,2.063243717465242e-12,4.4132337461982416e-20,1.2144751477547745e-19,4.085274253843881e-14,0.054,0.0,0.005306312529458065,0.875498616145573,5.0489831364667144e-12,1.3973482851420916e-29,7.345255039598233e-30,0.06556277054533477,3.0687473812046967e-37
3.196240370191391e-07,0.041572359999999996,0.0004362764366757534,0.009015179994618655,2.9512821131182147e-18,2.17848112207415e-12,3.0879212050856517e-12,2.079822805207333e-12,4.4755663284181776e-20,1.2204068227110552e-19,4.086867932013285e-14,0.054,0.0,0.005294853249249451,0.8754924099990437,5.0775478373512346e-12,1.4267269834949568e-29,7.46740833717721e-30,0.06556372355815641,3.1515335000620723e-37
3.207596278455796e-07,0.041572359999999996,0.0004353275737683293,0.009027538705769327,2.9448612000061994e-18,2.1788793929194937e-12,3.0917772769260452e-12,2.0964455925139067e-12,4.5384847906517443e-20,1.2262006709911948e-19,4.0884226386469535e-14,0.054,0.0,0.005283443400985311,0.8754862306434537,5.1061234059751226e-12,1.4565784410244988e-29,7.591050731343027e-30,0.06556467242104337,3.2361589259095363e-37
3.2189521867202007e-07,0.041572359999999996,0.0004343828337274967,0.009039844181457292,2.9384681730238614e-18,2.179267366524368e-12,3.0955734074027643e-12,2.113111714492533e-12,4.6019914437783756e-20,1.2319666496268572e-19,4.0899386369315436e-14,0.054,0.0,0.005272082665317313,0.8754800779055951,5.1347095709671575e-12,1.4869076853484333e-29,7.716193216131248e-30,0.06556561716106375,3.3226552537239e-37
3.2303080949846054e-07,0.041572359999999996,0.0004334421897201537,0.00905209676511796,2.9321028510904363e-18,2.1796451171515128e-12,3.099309913055325e-12,2.129820806902928e-12,4.666088586560953e-20,1.237943892018982e-19,4.091416187800493e-14,0.054,0.0,0.0052607707256431486,0.8754739516137504,5.1633060627895826e-12,1.517719763247485e-29,7.842846802135064e-30,0.06556655780505063,3.4110544450452694e-37
3.24166400324901e-07,0.041572359999999996,0.0004325056151456846,0.009064296797237702,2.9257650540174862e-18,2.1800127183025214e-12,3.102987110895156e-12,2.1465725061775238e-12,4.730778505371868e-20,1.2437155085644786e-19,4.0928555499897776e-14,0.054,0.0,0.005249507268077065,0.8754678515976759,5.191912613722543e-12,1.549019740428443e-29,7.971022516145357e-30,0.06556749437960467,3.501388829686178e-37
3.253019911513415e-07,0.041572359999999996,0.0004315730836334473,0.009076444615385397,2.919454602700166e-18,2.1803702427355073e-12,3.1066053182581746e-12,2.1633664494416348e-12,4.796063474203713e-20,1.2493219034491023e-19,4.094256980091594e-14,0.054,0.0,0.005238291981420822,0.8754617776885877,5.220528957848899e-12,1.5808127012864475e-29,8.100731400889659e-30,0.06556842691109649,3.5936911074236156e-37
3.26437581977782e-07,0.041572359999999996,0.00043064456904029263,0.009088540554243654,2.913171320785429e-18,2.1807177624821437e-12,3.1101648527635084e-12,2.1802022745332173e-12,4.8619457554498725e-20,1.2553186375699514e-19,4.095620732606236e-14,0.054,0.0,0.005227124557134968,0.8754557297191441,5.2491548310394e-12,1.61310374866659e-29,8.231984514806514e-30,0.06556935542566927,3.6879943496832674e-37
3.2757317280422245e-07,0.041572359999999996,0.0004297200454481134,0.00910058494563959,2.9069150327458106e-18,2.1810553488642743e-12,3.113666032442909e-12,2.1970796200223825e-12,4.928427599292473e-20,1.2611334071810732e-19,4.096947059992197e-14,0.054,0.0,0.005216004689310483,0.8754497075234319,5.277789970938192e-12,1.6458980036248282e-29,8.364792931785418e-30,0.06557027994924106,3.7843320012101126e-37
3.2870876363066293e-07,0.041572359999999996,0.00042879948716142746,0.009112578118575255,2.9006855639952274e-18,2.181383072509974e-12,3.117109175563422e-12,2.213998125230549e-12,4.995511242856072e-20,1.2664962590053943e-19,4.098236212714458e-14,0.054,0.0,0.005204932074640797,0.8754437109369493,5.30643411694868e-12,1.6792006051882258e-29,8.499167740835076e-30,0.06557120050750738,3.8827378817093975e-37
3.298443544571034e-07,0.041572359999999996,0.00042788286870499036,0.009124520399257643,2.8944827427490196e-18,2.181701003368865e-12,3.1204946004868014e-12,2.2309574302490314e-12,5.063198911846695e-20,1.272508983583047e-19,4.099488439290904e-14,0.054,0.0,0.005193906412394171,0.8754377397965936,5.335087010219741e-12,1.7130167101145505e-29,8.635120045781201e-30,0.06557211712594348,3.983246187474191e-37
3.309799452835439e-07,0.041572359999999996,0.00042697016482144115,0.009136412111128298,2.8883063979771462e-18,2.1820092107270905e-12,3.123822625945343e-12,2.247957175957433e-12,5.1314928201706437e-20,1.2785557265490146e-19,4.100703986336987e-14,0.054,0.0,0.005182927404386419,0.8754317939406437,5.363748393632243e-12,1.747351492651287e-29,8.772660965005757e-30,0.06557302982980671,4.085891493006496e-37
3.3211553610998436e-07,0.041572359999999996,0.00042606135046897625,0.009148253574892575,2.8821563595287046e-18,2.1823077632219725e-12,3.127093570887186e-12,2.2649970040418586e-12,5.20039516743968e-20,1.2835236812837852e-19,4.101883098608873e-14,0.054,0.0,0.0051719947549539865,0.8754258732087472,5.392418011785873e-12,1.782210144294111e-29,8.91180163112171e-30,0.06557393864413887,4.190708752595207e-37
3.3325112693642484e-07,0.041572359999999996,0.00042515640081905356,0.009160045108548521,2.8760324600008292e-18,2.182596728855748e-12,3.1303077540867607e-12,2.2820765570123274e-12,5.26990814203551e-20,1.289380199462508e-19,4.103026019045005e-14,0.054,0.0,0.005161108170927367,0.8754199774419046,5.4210956109862695e-12,1.8175978735448768e-29,9.05255319068539e-30,0.06557484359376847,4.297733301880855e-37
