Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52),N2X2(77)
2.6683915839508786e-11,0.08314471999999999,2.3134585786513144e-06,2.984557569218542e-06,2.2557960194008946e-07,2.6811360086081923e-10,1.0467118023457336e-09,2.7615395875007393e-14,1.7527922781043406e-20,2.7120076389957075e-16,5.395715506863576e-28,-1.0955375860850013e-25,1.0934114240574418e-13,0.054,0.0,0.0,0.05897948643840308,0.8799985075865616,1.0842024162651738e-12,-6.600004861718948e-24,3.147031507059183e-23,0.06599745991507966,-1.9874929420139857e-22,2.2740260824553756e-07,3.08712714632141e-20,-7.101203097616245e-25
2.6792494104374665e-11,0.08314471999999999,2.3138312239545672e-06,2.9966996698441835e-06,2.2648624254414996e-07,2.7049872258100434e-10,1.0593992242293533e-09,2.8073598003603583e-14,1.7973822286112644e-20,2.7627647797405355e-16,-7.121207634839412e-28,2.5126229577618896e-25,1.1091508132584324e-13,0.054,0.0,0.0,0.0589794720723512,0.8799985015143085,1.10310045664406e-12,-6.628870330626883e-24,3.240200482335053e-23,0.06599745862310587,-1.991440643083586e-22,2.283321990124479e-07,3.161994301389251e-20,-6.4607193649416e-25
2.6901072369240543e-11,0.08314471999999999,2.3141966598547436e-06,3.0088417536875646e-06,2.2739274313863195e-07,2.7289436595604277e-10,1.0721883565923593e-09,2.8537552765419073e-14,1.8429184610084846e-20,2.8142495057452527e-16,1.0902276730956138e-27,-5.860535410929794e-25,1.1250450115958116e-13,0.054,0.0,0.0,0.058979457713500875,0.8799984954420583,1.12224530518209e-12,-6.65806835192835e-24,3.3357320565771447e-23,0.06599745733837976,-1.9822687825611918e-22,2.292618421619091e-07,3.238370112810275e-20,-6.986266339183022e-25
2.7009650634106422e-11,0.08314471999999999,2.3145550256143907e-06,3.0209838207512366e-06,2.282991031676213e-07,2.753005281016784e-10,1.0850795975173098e-09,2.9007309563034873e-14,1.889417102638546e-20,2.8664690111791407e-16,-2.7786171286423725e-27,1.3895371736381743e-24,1.1410948348954078e-13,0.054,0.0,0.0,0.05897944336171277,0.8799984893698112,1.1416391063360022e-12,-6.682408347814602e-24,3.433676187399484e-23,0.06599745606076228,-2.0039182720653629e-22,2.3019153793275373e-07,3.316278881143164e-20,-4.811137533412445e-25
2.71182288989723e-11,0.08314471999999999,2.314906457805962e-06,3.033125871041179e-06,2.2920532207546947e-07,2.7771720612159214e-10,1.0980733449603936e-09,2.9482918032701253e-14,1.9368944892492385e-20,2.9194305281509965e-16,7.501129756079266e-27,-3.347724066093217e-24,1.1573010995174662e-13,0.054,0.0,0.0,0.058979429016850236,0.879998483297567,1.1612840137798198e-12,-6.714427395490786e-24,3.534083680146816e-23,0.06599745479011694,-1.9520084767030856e-22,2.3112128656382187e-07,3.395745201760629e-20,-9.130453967725127e-25
2.722680716383818e-11,0.08314471999999999,2.315251090363788e-06,3.0452679045550987e-06,2.301113993067924e-07,2.8014439710743623e-10,1.1111699967509491e-09,2.996442804459666e-14,1.9853671661332915e-20,2.973141326712787e-16,-1.897509746307817e-26,8.192364174147763e-24,1.1736646223512632e-13,0.054,0.0,0.0,0.05897941467877923,0.8799984772253259,1.1811821904029824e-12,-6.723934121472129e-24,3.6370061987637846e-23,0.06599745352631001,-2.078466360783323e-22,2.3205108829395838e-07,3.476793967271656e-20,2.2860010851188177e-25
2.7335385428704057e-11,0.08314471999999999,2.315589054635026e-06,3.057409921310367e-06,2.3101733430646883e-07,2.8258209813886577e-10,1.1243699505909783e-09,3.045188970308573e-14,2.0348518916796257e-20,3.027608714862372e-16,4.6580677629965605e-26,-2.0355952336292515e-23,1.190186220809693e-13,0.054,0.0,0.0,0.058979400347368316,0.8799984711530877,1.2013358083084747e-12,-6.785373657847784e-24,3.742496276799701e-23,0.06599745226921028,-1.765578700844963e-22,2.3298094336201028e-07,3.55945036998581e-20,-2.515784381973033e-24
2.7443963693569936e-11,0.08314471999999999,2.3159204794296918e-06,3.0695519213044243e-06,2.319231265196387e-07,2.8503030628360363e-10,1.137673604054695e-09,3.0945353346977977e-14,2.0853656358589205e-20,3.08284003854725e-16,-1.0302925629303123e-25,1.1943803084023423e-24,1.2068667128238225e-13,0.054,0.0,0.0,0.05897938602248866,0.8799984650808526,1.221747048810941e-12,-6.979776257054086e-24,3.8506073284362317e-23,0.06599745101868912,-1.9361481915216182e-22,2.339108520068247e-07,3.6437399043356154e-20,-6.664887566259942e-24
2.7541684131949227e-11,0.08314471999999999,2.3162132749480633e-06,3.0804797069613856e-06,2.3273821697064623e-07,2.8724267476258645e-10,1.1497358838419862e-09,3.139464411815444e-14,2.1317220178948996e-20,3.1332074967546286e-16,1.0444709540875412e-25,-3.4640570931189e-25,1.2220156860599242e-13,0.054,0.0,0.0,0.05897937313557662,0.8799984596158434,1.2403392428617265e-12,-7.282007985010776e-24,3.950193072636619e-23,0.06599744989874043,-1.9086736744241167e-22,2.347478157926946e-07,3.7210181293631266e-20,-7.776713659382713e-24
2.7639404570328517e-11,0.08314471999999999,2.3165009662393987e-06,3.091407479038076e-06,2.3355319091122981e-07,2.894635494640459e-10,1.161882771906143e-09,3.184887448984068e-14,2.1789385039378053e-20,3.1842051323639087e-16,-5.855143018862134e-26,-8.843392369801884e-30,1.2372946230060203e-13,0.054,0.0,0.0,0.058979360253762006,0.8799984541508368,1.259143488691988e-12,-7.602349748137644e-24,4.0519859958602476e-23,0.06599744878392787,-1.91866747880954e-22,2.355848233433204e-07,3.7996591043708706e-20,-6.64043835365241e-24
2.7737125008707808e-11,0.08314471999999999,2.316783642127589e-06,3.1023352375259255e-06,2.3436804793743416e-07,2.916929282255268e-10,1.174114557811203e-09,3.230808164714702e-14,2.2270279176243967e-20,3.235838379424389e-16,1.953395802326979e-26,-1.0083696941253593e-24,1.2527041209885344e-13,0.054,0.0,0.0,0.05897934737695597,0.8799984486858325,1.2781613956111076e-12,-7.854407427116879e-24,4.1560269114656196e-23,0.0659974476741627,-1.935797479281362e-22,2.3642187483281192e-07,3.879682052383138e-20,-5.6527901639264606e-24
2.78348454470871e-11,0.08314471999999999,2.3170613898908604e-06,3.1132629824503764e-06,2.3518278764547187e-07,2.939308088768254e-10,1.1864315310361645e-09,3.2772302929645255e-14,2.2760032274859268e-20,3.2881126968893107e-16,-7.378889801038784e-27,8.81985008302176e-25,1.2682447776600916e-13,0.054,0.0,0.0,0.058979334505071104,0.8799984432208308,1.297394578967456e-12,-8.051484163994289e-24,4.262357238783734e-23,0.06599744656935777,-1.9645995435164278e-22,2.3725897043527286e-07,3.9611064008365613e-20,-5.60152973799503e-24
2.792279384162846e-11,0.08314471999999999,2.3173072202421724e-06,3.1230979412976404e-06,2.3591595274207788e-07,2.9595216877892316e-10,1.1975898812828224e-09,3.3194420146678273e-14,2.3208492838437895e-20,3.335712229697937e-16,2.954838214742263e-28,7.10870533960422e-26,1.2823440035637834e-13,0.054,0.0,0.0,0.05897932292451136,0.8799984383023313,1.3148898452929685e-12,-8.234535997138753e-24,4.360046707152117e-23,0.06599744557920353,-1.9466452694025753e-22,2.3801239433796742e-07,4.035602734490107e-20,-5.648968309094601e-24
2.8001947396715686e-11,0.08314471999999999,2.3175251648312214e-06,3.1319493948672638e-06,2.3657571955770272e-07,2.9777727784985547e-10,1.2076917677210074e-09,3.3577846816729515e-14,2.3618413268441242e-20,3.3790028981515936e-16,8.737561287469038e-27,-1.9701176090075453e-25,1.2951249154217027e-13,0.054,0.0,0.0,0.05897931250530542,0.8799984338756832,1.3307867777961166e-12,-8.413335468097844e-24,4.449607534454857e-23,0.06599744469138986,-1.9369079263568768e-22,2.3869050662629157e-07,4.103645514720592e-20,-5.367304435610645e-24
2.808110095180291e-11,0.08314471999999999,2.3177400263283265e-06,3.1408008395316295e-06,2.3723540868347927e-07,2.9960796112669777e-10,1.2178500599821018e-09,3.3964630152551866e-14,2.4034381457922918e-20,3.4227239607611608e-16,-3.803921927832587e-27,1.4273409293343457e-25,1.30799294419329e-13,0.054,0.0,0.0,0.05897930208917795,0.8799984294490368,1.3468278451078755e-12,-8.584420921462306e-24,4.540746111802892e-23,0.06599744380668054,-1.9420152658495979e-22,2.3936864816667075e-07,4.172642974300176e-20,-5.0001147151260265e-24
