Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12),HX(9),NH2_X(20),NH_X(21)
2.6274356029519906e-07,0.066515776,0.938,3.135634442019505e-13,0.0005022509685185255,2.590198997026954e-10,3.6283658482649294e-09,2.8973429687619953e-07,0.0,0.0,0.038857503522246595,0.009748571772684796,0.049999834603567224,1.3949399979781606e-09,3.6102123306934283e-16,0.001998550166513739,0.0,7.67253864900898e-07,1.7492115514698493e-07,9.409832071452561e-07,2.160667684108537e-07
2.637512547742006e-07,0.066515776,0.938,3.1774834276598575e-13,0.0005041275418192557,2.6057497095456836e-10,3.6330197143558496e-09,2.8972131310886637e-07,0.0,0.0,0.03885562342051952,0.009747631902661978,0.0499998378027127,1.4163434701889306e-09,3.6594148912307e-16,0.0019985461260863557,0.0,7.672168062735964e-07,1.7448436580948751e-07,9.432423574244627e-07,2.1781666307655412e-07
2.647589492532022e-07,0.066515776,0.938,3.219739027983752e-13,0.0005060037491583403,2.621349627829268e-10,3.637674097385667e-09,2.897083310419951e-07,0.0,0.0,0.038853743681096016,0.009746692214181424,0.04999984100472747,1.4380043468760142e-09,3.709106202829195e-16,0.0019985420848716226,0.0,7.671797549180586e-07,1.7405095422393107e-07,9.454944673810903e-07,2.1957386394441824e-07
2.6576664373220374e-07,0.066515776,0.938,3.2624038587788236e-13,0.000507879590612189,2.6369987738244244e-10,3.642328972914939e-09,2.896953506569486e-07,0.0,0.0,0.03885186430391276,0.009745752707186183,0.049999844209649036,1.4599249872919134e-09,3.7592894978624894e-16,0.0019985380428382965,0.0,7.671427108333581e-07,1.7362088079490636e-07,9.477395688434172e-07,2.213383657260686e-07
2.667743382112053e-07,0.066515776,0.938,3.3054805442885796e-13,0.0005097550662574284,2.6526971682749956e-10,3.646984315687512e-09,2.896823719355336e-07,0.0,0.0,0.03884998528890564,0.009744813381619321,0.04999984741751469,1.4821077656785822e-09,3.809968019805416e-16,0.0019985339999550635,0.0,7.671056740185374e-07,1.7319410648553416e-07,9.499776937772211e-07,2.2311016303798035e-07
2.6778203269020685e-07,0.066515776,0.938,3.3489717171935696e-13,0.0005116301761709012,2.6684448307283316e-10,3.6516400996736856e-09,2.89669394859992e-07,0.0,0.0,0.0388481066360097,0.009743874237423938,0.04999985062836138,1.504555071301784e-09,3.861145023214942e-16,0.0019985299561905458,0.0,7.670686444726089e-07,1.7277059280900951e-07,9.522088742753348e-07,2.2488925040190102e-07
2.687897271692084e-07,0.066515776,0.938,3.392880018592301e-13,0.0005135049204296676,2.6842417795415626e-10,3.656296298111586e-09,2.896564194129951e-07,0.0,0.0,0.03884622834515925,0.009742935274543148,0.049999853842225876,1.5272693084850235e-09,3.9128237737107236e-16,0.0019985259115133116,0.0,7.670316221945583e-07,1.723503018202638e-07,9.544331425475188e-07,2.2667562224526428e-07
2.6979742164820997e-07,0.066515776,0.938,3.437208097981905e-13,0.0005153792991110044,2.700088031887766e-10,3.660952883547285e-09,2.896434455776353e-07,0.0,0.0,0.0388443504162878,0.009741996492920086,0.04999985705914465,1.550252896643055e-09,3.9650075479553297e-16,0.001998521865891888,0.0,7.669946071833415e-07,1.719331961077402e-07,9.566505309106428e-07,2.2846927290159602e-07
2.7080511612721153e-07,0.066515776,0.938,3.4819586132385287e-13,0.0005172533122924054,2.71598360376203e-10,3.665609827873153e-09,2.8963047333741965e-07,0.0,0.0,0.03884247284932815,0.009741057892497918,0.04999986027915391,1.573508270314946e-09,4.0176996336341465e-16,0.0019985178192947653,0.0,7.669575994378884e-07,1.715192387852873e-07,9.58861071779165e-07,2.3027019661091484e-07
2.718128106062131e-07,0.066515776,0.938,3.5271342305975026e-13,0.0005191269600515827,2.7319285099874236e-10,3.6702671023651893e-09,2.8961750267626297e-07,0.0,0.0,0.03884059564421234,0.009740119473219828,0.0499998635022896,1.5970378791967166e-09,4.0709033294349564e-16,0.0019985137716904094,0.0,7.669205989571005e-07,1.7110839348416398e-07,9.610647976559079e-07,2.3207838752012574e-07
2.7282050508521465e-07,0.066515776,0.938,3.5727376246332224e-13,0.0005210002424664647,2.747922764220875e-10,3.674924677718509e-09,2.8960453357848044e-07,0.0,0.0,0.03883871880087173,0.009739181235029018,0.04999986672858741,1.6208441881735292e-09,4.124621945027186e-16,0.0019985097230472678,0.0,7.668836057398555e-07,1.7070062434516143e-07,9.632617411231118e-07,2.3389383968340737e-07
2.738281995642162e-07,0.066515776,0.938,3.618771478238802e-13,0.0005228731596151982,2.76396637895895e-10,3.6795825240821416e-09,2.8959156602878123e-07,0.0,0.0,0.03883684231923694,0.009738243177868724,0.04999986995808277,1.6449296773514401e-09,4.1788588010408455e-16,0.0019985056733337796,0.0,7.668466197850047e-07,1.7029589601083503e-07,9.65451934833768e-07,2.3571654706259348e-07
2.7483589404321776e-07,0.066515776,0.938,3.665238482605463e-13,0.0005247457115761454,2.7800593655435513e-10,3.684240611091797e-09,2.8957860001226195e-07,0.0,0.0,0.03883496619923793,0.009737305301682195,0.04999987319081083,1.6692968420887005e-09,4.233617229045131e-16,0.0019985016225183816,0.0,7.668096410913736e-07,1.698941736178526e-07,9.676354115032215e-07,2.375465035275482e-07
2.758435885222193e-07,0.066515776,0.938,3.712141337201674e-13,0.0005266178984278868,2.796201734167532e-10,3.6888989079023194e-09,2.8956563551439915e-07,0.0,0.0,0.038833090440804,0.009736367606412706,0.04999987642680651,1.693948193026609e-09,4.2889005715267173e-16,0.001998497570569517,0.0,7.667726696577663e-07,1.694954227894492e-07,9.698122039010316e-07,2.3938370285653533e-07
2.768512830012209e-07,0.066515776,0.938,3.7594827497520447e-13,0.0005284897202492184,2.8123934938802247e-10,3.6935573832179374e-09,2.8955267252104395e-07,0.0,0.0,0.03883121504386378,0.009735430092003554,0.049999879666104446,1.7188862561199078e-09,4.344712181867725e-16,0.0019984935174556465,0.0,7.66735705482961e-07,1.6909960962799895e-07,9.7198234484309e-07,2.4122813873658183e-07
2.7785897748022244e-07,0.066515776,0.938,3.807265436215969e-13,0.0005303611771191529,2.8286346525928894e-10,3.6982160053225367e-09,2.8953971101841507e-07,0.0,0.0,0.03882934000834531,0.009734492758398059,0.04999988290873901,1.7441135726667253e-09,4.4010554243233677e-16,0.001998489463145248,0.0,7.666987485657145e-07,1.687067007076888e-07,9.741458671839827e-07,2.4307980476383563e-07
2.78866671959224e-07,0.066515776,0.938,3.855492120766008e-13,0.0005322322691169191,2.8449252170840964e-10,3.702874742107514e-09,2.8952675099309254e-07,0.0,0.0,0.038827465334175956,0.00973355560553957,0.04999988615474432,1.7696326993380506e-09,4.457933673999287e-16,0.00199848540760683,0.0,7.666617989047609e-07,1.6831666306731038e-07,9.76302803809595e-07,2.449386944439179e-07
2.7987436643822556e-07,0.066515776,0.938,3.904165535766051e-13,0.0005341029963219601,2.86126519300502e-10,3.7075335611001126e-09,2.8951379243201147e-07,0.0,0.0,0.038825591021282496,0.009732618633371447,0.04999988940415424,1.7954462082067534e-09,4.515350316828563e-16,0.001998481350808934,0.0,7.66624856498812e-07,1.6792946420314837e-07,9.78453187629948e-07,2.4680480119226966e-07
2.808820609172271e-07,0.066515776,0.938,3.9532884217492e-13,0.0005359733588139349,2.8776545848846714e-10,3.712192429488905e-09,2.8950083532245555e-07,0.0,0.0,0.038823717069591125,0.00973168184183708,0.049999892657002366,1.8215566867761277e-09,4.573308749548404e-16,0.0019984772927201452,0.0,7.665879213465599e-07,1.6754507206198897e-07,9.805970515722681e-07,2.486781183344936e-07
2.818897553962287e-07,0.066515776,0.938,4.0028635273954314e-13,0.0005378433566727158,2.894093396135058e-10,3.7168513141505225e-09,2.8948787965205143e-07,0.0,0.0,0.038821843479027444,0.009730745230879884,0.04999989591332203,1.8479667380079695e-09,4.631812379676541e-16,0.0019984732333090944,0.0,7.665509934466742e-07,1.6716345503421842e-07,9.827344285742656e-07,2.5055863910668933e-07
2.8289744987523023e-07,0.066515776,0.938,4.052893609509004e-13,0.0005397129899783895,2.910581629056282e-10,3.7215101816726947e-09,2.8947492540876247e-07,0.0,0.0,0.0388199702495165,0.009729808800443291,0.04999989917314632,1.8746789803501782e-09,4.690864625487286e-16,0.0019984691725444675,0.0,7.665140727978055e-07,1.6678458194704457e-07,9.848653515776473e-07,2.5244635665578527e-07
2.839051443542318e-07,0.066515776,0.938,4.1033814329956157e-13,0.0005415822588112552,2.9271192848415646e-10,3.726168998379723e-09,2.894619725808833e-07,0.0,0.0,0.0388180973809828,0.009728872550470759,0.049999902436508044,1.9016960477638824e-09,4.750468915987284e-16,0.0019984651103950126,0.0,7.664771593985852e-07,1.6640842205779963e-07,9.86989853521815e-07,2.5434126403986435e-07
2.8491283883323335e-07,0.066515776,0.938,4.154329770839338e-13,0.000543451163251825,2.9437063635822165e-10,3.730827730352981e-09,2.8944902115703306e-07,0.0,0.0,0.038816224873350264,0.009727936480905773,0.049999905703439776,1.9290205897500826e-09,4.810628690890955e-16,0.0019984610468295394,0.0,7.664402532476241e-07,1.6603494504737201e-07,9.891079673377963e-07,2.5624335422848435e-07
2.859205333122349e-07,0.066515776,0.938,4.2057414040792826e-13,0.0005453197033808217,2.9603428642725416e-10,3.7354863434555475e-09,2.894360711261505e-07,0.0,0.0,0.03881435272654235,0.009727000591691829,0.0499999089739738,1.9566552713758106e-09,4.871347400595622e-16,0.0019984569818169307,0.0,7.664033543435158e-07,1.6566412101370654e-07,9.91219725942337e-07,2.581526201029949e-07
2.8692822779123647e-07,0.066515776,0.938,4.2576191217860513e-13,0.0005471878792791793,2.9770287848146873e-10,3.740144803349891e-09,2.8942312247748783e-07,0.0,0.0,0.038812480940481967,0.009726064882772459,0.04999991224814219,1.984602773299807e-09,4.932628506156329e-16,0.0019984529153261456,0.0,7.663664626848352e-07,1.6529592046544503e-07,9.933251622322324e-07,2.6006905445684863e-07
2.8793592227023803e-07,0.066515776,0.938,4.309965721037926e-13,0.0005490556910280421,2.993764122023434e-10,3.744803075522348e-09,2.8941017520060535e-07,0.0,0.0,0.03881060951509153,0.00972512935409121,0.049999915525976726,2.0128657917976996e-09,4.994475479260351e-16,0.001998448847326226,0.0,7.6632957827014e-07,1.6493031431561547e-07,9.954243090787893e-07,2.6199264999590736e-07
2.889436167492396e-07,0.066515776,0.938,4.362784006896831e-13,0.0005509231387087629,3.010548871630933e-10,3.749461125297335e-09,2.893972292853659e-07,0.0,0.0,0.03880873845029294,0.009724194005591661,0.04999991880750893,2.041447038786692e-09,5.056891802201386e-16,0.001998444777786297,0.0,7.662927010979691e-07,1.645672738754822e-07,9.975171993225396e-07,2.639233993387458e-07
2.8995131122824114e-07,0.066515776,0.938,4.416076792384056e-13,0.0005527902224029034,3.0273830282913854e-10,3.754118917862783e-09,2.893842847219294e-07,0.0,0.0,0.03880686774600766,0.009723258837217396,0.04999992209277012,2.0703492418497606e-09,5.11988096785346e-16,0.001998440706675579,0.0,7.662558311668467e-07,1.6420677084841088e-07,9.99603865768047e-07,2.6586129501694724e-07
2.909590057072427e-07,0.066515776,0.938,4.4698468984557383e-13,0.0005546569421922323,3.0442665855856826e-10,3.758776418279671e-09,2.893713415007473e-07,0.0,0.0,0.03880499740215667,0.009722323848912046,0.04999992538179131,2.099575144259348e-09,5.183446479644496e-16,0.001998436633963387,0.0,7.66218968475279e-07,1.6384877732393392e-07,1.00168434117899e-06,2.678063294753996e-07
2.9196670018624426e-07,0.066515776,0.938,4.524097153978113e-13,0.0005565232981587247,3.0611995360259703e-10,3.763433591510313e-09,2.8935839961255777e-07,0.0,0.0,0.03880312741866048,0.009721389040619244,0.04999992867460327,2.129127505000549e-09,5.247591851529611e-16,0.001998432559619136,0.0,7.661821130217575e-07,1.6349326577177344e-07,1.0037586582732808e-06,2.697584950725825e-07
2.929743946652458e-07,0.066515776,0.938,4.578830395702523e-13,0.0005583892903845609,3.0781818710602056e-10,3.768090402420818e-09,2.8934545904838016e-07,0.0,0.0,0.03880125779543919,0.009720454412282658,0.04999993197123653,2.1590090987938008e-09,5.31232060796408e-16,0.0019984284836123455,0.0,7.661452648047575e-07,1.6314020903613488e-07,1.0058268497185203e-06,2.717177840808541e-07
2.939820891442474e-07,0.066515776,0.938,4.634049468240202e-13,0.0005602549189521262,3.095213581076614e-10,3.772746815815743e-09,2.8933251979950973e-07,0.0,0.0,0.03879938853241245,0.009719519963845976,0.04999993527172138,2.189222716117057e-09,5.377636283876017e-16,0.0019984244059126455,0.0,7.661084238227394e-07,1.6278958032985774e-07,1.007888948127384e-06,2.7368418868673037e-07
2.9498978362324894e-07,0.066515776,0.938,4.689757224036811e-13,0.0005621201839440095,3.112294655408161e-10,3.7774027964289495e-09,2.8931958185751314e-07,0.0,0.0,0.03879751962949947,0.009718585695252907,0.04999993857608781,2.2197711632274547e-09,5.443542424638734e-16,0.0019984203264897782,0.0,7.660715900741477e-07,1.6244135322896714e-07,1.0099449860534626e-06,2.756577009911649e-07
2.959974781022505e-07,0.066515776,0.938,4.745956523346767e-13,0.0005639850854430007,3.1294250823369086e-10,3.782058308971015e-09,2.8930664521422267e-07,0.0,0.0,0.03879565108661905,0.009717651606447185,0.04999994188436564,2.2506572621824606e-09,5.510042586042825e-16,0.0019984162453136017,0.0,7.660347635574145e-07,1.6209550166690008e-07,1.011994995986855e-06,2.7763831300981866e-07
2.9690440313335195e-07,0.066515776,0.938,4.796958532702037e-13,0.0005656631860742596,3.1448846525151264e-10,3.786247840849681e-09,2.8929500333911526e-07,0.0,0.0,0.03879396970578714,0.009716811080193734,0.04999994486518433,2.278745788748428e-09,5.570403566188161e-16,0.00199841257073115,0.0,7.660016258742864e-07,1.6178624508664835e-07,1.013834877792074e-06,2.7942692741469206e-07
2.978113281644534e-07,0.066515776,0.938,4.848363111485755e-13,0.0005673409924041375,3.16038417794401e-10,3.790436939205961e-09,2.892833625039666e-07,0.0,0.0,0.03879228861645579,0.009715970699481493,0.04999994784921652,2.30711219157033e-09,5.631251198446766e-16,0.0019984088946824025,0.0,7.659684940465178e-07,1.6147887335433292e-07,1.0156699267735986e-06,2.812212801117198e-07
2.9871825319555485e-07,0.066515776,0.938,4.900172360943462e-13,0.000569018504493405,3.1759236479150895e-10,3.794625578281192e-09,2.8927172270335683e-07,0.0,0.0,0.03879060781856502,0.00971513046426949,0.049999950836483405,2.3357585608365104e-09,5.692588096520285e-16,0.0019984052171456426,0.0,7.659353680729377e-07,1.611733681888488e-07,1.0175001664694222e-06,2.8302136510418344e-07
2.996251782266563e-07,0.066515776,0.938,4.952388387378608e-13,0.000570695722402963,3.1915030510410936e-10,3.798813732304531e-09,2.8926008393202796e-07,0.0,0.0,0.03878892731205455,0.00971429037451677,0.049999953827006026,2.364686997151555e-09,5.754416880873729e-16,0.0019984015380992404,0.0,7.659022479523655e-07,1.608697115303684e-07,1.019325620366335e-06,2.848271763400617e-07
3.0053210325775775e-07,0.066515776,0.938,5.005013302136752e-13,0.0005723726461938416,3.207122375258443e-10,3.803001375531577e-09,2.8924844618488103e-07,0.0,0.0,0.03878724709686395,0.009713450430182395,0.049999956820805255,2.3938996115473107e-09,5.816740178718144e-16,0.0019983978575216534,0.0,7.658691336836116e-07,1.60567885537364e-07,1.0211463118979272e-06,2.866387077121831e-07
3.014390282888592e-07,0.066515776,0.938,5.058049221589604e-13,0.0005740492759271997,3.22278160782976e-10,3.807188482248594e-09,2.892368094569755e-07,0.0,0.0,0.03878556717293246,0.009712610631225443,0.04999995981790181,2.4233985254936044e-09,5.879560623993118e-16,0.0019983941753914294,0.0,7.658360252654803e-07,1.6026787258358463e-07,1.0229622644425937e-06,2.8845595305838107e-07
3.0234595331996065e-07,0.066515776,0.938,5.111498267118986e-13,0.0005757256116643241,3.2384807353462776e-10,3.8113750267415305e-09,2.892251737435255e-07,0.0,0.0,0.03878388754019916,0.009711770977605002,0.04999996281831624,2.4531858709087058e-09,5.942880857349134e-16,0.0019983904916872058,0.0,7.658029226967656e-07,1.5996965525517573e-07,1.0247735013215752e-06,2.9027890616163816e-07
3.032528783510621e-07,0.066515776,0.938,5.165362565100668e-13,0.0005774016534666292,3.2542197437302326e-10,3.815560983346229e-09,2.892135390398955e-07,0.0,0.0,0.038782208198602876,0.009710931469280173,0.04999996582206896,2.4832637901694956e-09,6.006703526129785e-16,0.001998386806387713,0.0,7.657698259762552e-07,1.5967321634763904e-07,1.026580045796967e-06,2.9210756075022823e-07
3.040691108790534e-07,0.066515776,0.938,5.214197235591926e-13,0.0005789098398252942,3.268418937245029e-10,3.819327820477213e-09,2.8920306866631495e-07,0.0,0.0,0.038780697040037636,0.009710176035981793,0.049999968528317375,2.510584137252545e-09,6.064575703729309e-16,0.0019983834882367113,0.0,7.65740043927003e-07,1.594079278277219e-07,1.0282019429968979e-06,2.9375821942237176e-07
3.0488534340704467e-07,0.066515776,0.938,5.26337154409532e-13,0.0005804177881915523,3.28265041111947e-10,3.823094142013752e-09,2.891925991038867e-07,0.0,0.0,0.03877918611719877,0.00970942072030996,0.049999971237300864,2.538143169501553e-09,6.122858943083244e-16,0.001998380168761019,0.0,7.657102666129142e-07,1.5914405380759127e-07,1.0298200750142237e-06,2.9541348652449483e-07
3.0570157593503595e-07,0.066515776,0.938,5.312887051049294e-13,0.0005819254986104363,3.296914153710544e-10,3.826859929328772e-09,2.891821303495372e-07,0.0,0.0,0.03877767543004124,0.009708665522234896,0.049999973949033945,2.56594247047728e-09,6.181555187939142e-16,0.0019983768479453303,0.0,7.65680494033088e-07,1.588815821690633e-07,1.0314344586772662e-06,2.9707335737142527e-07
3.0651780846302724e-07,0.066515776,0.938,5.362745320127811e-13,0.0005834329711270607,3.3112101529422785e-10,3.830625163863638e-09,2.891716624002865e-07,0.0,0.0,0.03877616497851987,0.009707910441726824,0.04999997666353107,2.593983630626023e-09,6.240666386390621e-16,0.0019983735257744022,0.0,7.656507261866212e-07,1.5862050092433853e-07,1.0330451107712869e-06,2.987378272424554e-07
3.073340409910185e-07,0.066515776,0.938,5.412947918230462e-13,0.0005849402057866212,3.325538396307117e-10,3.834389827068355e-09,2.891611952532469e-07,0.0,0.0,0.038774654762589365,0.00970715547875599,0.049999979380806615,2.622268247284855e-09,6.300194490866429e-16,0.0019983702022330608,0.0,7.656209630726077e-07,1.5836079821449514e-07,1.0346520480375625e-06,3.0040689138142325e-07
3.0806865026621065e-07,0.066515776,0.938,5.458425955472477e-13,0.000586296513649855,3.3384613733850694e-10,3.837777520169558e-09,2.8915177550448737e-07,0.0,0.0,0.038773295769644556,0.009706476112551985,0.0499999818287419,2.647933883349823e-09,6.354127856712529e-16,0.0019983672098616593,0.0,7.655941803154856e-07,1.5812823472413707e-07,1.036095129199976e-06,3.019129732461055e-07
