Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52)
4.2167879038478075e-08,0.08314471999999999,2.1593773582537192e-06,0.00374407697021763,1.293909539690433e-08,6.75338448309471e-07,1.3705178198956488e-05,0.00013433812771444523,7.02646826960566e-05,1.1115291850755939e-08,1.1065253812070695e-16,3.7872799941297786e-35,4.322344437813152e-08,0.054,0.0,0.0,0.054860360204283226,0.877812155610925,0.0004636122305420175,3.857428955573282e-08,1.9468194180737588e-05,0.06568242347437747,2.7391757293220377e-09,4.5230266916455874e-06,7.753428415654714e-05
4.224217464098737e-08,0.08314471999999999,2.159100919925663e-06,0.0037499609979299796,1.2914065495183129e-08,6.756566209261803e-07,1.3678503145736102e-05,0.00013444967368921005,7.045923663481482e-05,1.1112407779430268e-08,1.1131999187941555e-16,3.8329244693510674e-35,4.3268041747761835e-08,0.054,0.0,0.0,0.05485379142266926,0.8778085700898339,0.00046444169058065435,3.8742396692506064e-08,1.952546883148609e-05,0.06568188136018922,2.756035496662007e-09,4.517599123879405e-06,7.773963325224882e-05
4.2316470243496665e-08,0.08314471999999999,2.1588245574642867e-06,0.00375584344640483,1.2889126372674179e-08,6.759741660269057e-07,1.3651932235169665e-05,0.00013456091544291962,7.065383747767608e-05,1.1109534754487013e-08,1.1198973265956602e-16,3.9203344695418896e-35,4.3312581524668004e-08,0.054,0.0,0.0,0.05484722435427674,0.877804985441906,0.00046527090760005647,3.891078261930233e-08,1.9582770365732922e-05,0.06568133936867877,2.772955895809114e-09,4.512185740978789e-06,7.79449851043991e-05
4.239076584600596e-08,0.08314471999999999,2.1585482708425718e-06,0.00376172431649709,1.286427753281642e-08,6.762910847885004e-07,1.3625464812128622e-05,0.00013467185416702717,7.084848499772942e-05,1.1106672674135038e-08,1.1266176166827998e-16,3.845654114948767e-35,4.335706374510353e-08,0.054,0.0,0.0,0.05484065899850407,0.877801401666804,0.00046609988195595443,3.907944680626569e-08,1.9640098722614002e-05,0.06568079749984873,2.7899369769480925e-09,4.506786478746329e-06,7.815033946343582e-05
4.2465061448515254e-08,0.08314471999999999,2.1582720600334184e-06,0.003767603609062556,1.28395184826872e-08,6.766073783893484e-07,1.3599100227401068e-05,0.0001347824910459143,7.104317896864624e-05,1.1103821437796541e-08,1.1333608010437465e-16,3.8451203576559595e-35,4.340148844590534e-08,0.054,0.0,0.0,0.054834095354747404,0.8777978187641907,0.0004669286140013831,3.92483887246358e-08,1.9697453841396126e-05,0.06568025575370139,2.806978790071193e-09,4.501401273422928e-06,7.835569608055683e-05
4.253935705102455e-08,0.08314471999999999,2.1579959250096344e-06,0.003773481324957875,1.2814848733005774e-08,6.76923048009238e-07,1.3572837837622223e-05,0.00013489282725695452,7.123791916468213e-05,1.1100980946088821e-08,1.1401268915839062e-16,4.016905486676494e-35,4.344585566448754e-08,0.054,0.0,0.0,0.054827533422400626,0.8777942367337294,0.00046775710408671333,3.941760784674515e-08,1.97548356614774e-05,0.0656797141302387,2.8240813849787575e-09,4.49603006168377e-06,7.856105470772045e-05
4.2613652653533844e-08,0.08314471999999999,2.157719865743899e-06,0.0037793574650405045,1.2790267798234113e-08,6.772380948290296e-07,1.3546677005207163e-05,0.00013500286397057464,7.143270536067895e-05,1.1098151100811216e-08,1.1469159001261715e-16,3.916113345818665e-35,4.3490165438825136e-08,0.054,0.0,0.0,0.05482097320085544,0.877790655575083,0.00046858535255968396,3.958710364601628e-08,1.9812244122387696e-05,0.06567917262946224,2.8412448112797768e-09,4.490672780634438e-06,7.876641509764605e-05
4.268794825604314e-08,0.08314471999999999,2.1574438822088152e-06,0.0037852320301686895,1.276577519634752e-08,6.775525200309499e-07,1.352061709828313e-05,0.00013511260235031698,7.162753733206453e-05,1.109533180493273e-08,1.153727838411222e-16,3.936926349103903e-35,4.3534417807444945e-08,0.054,0.0,0.0,0.054814414689501406,0.8777870752879153,0.0004694133597654335,3.975687559695912e-08,1.986967916378912e-05,0.06567863125137338,2.858469118392462e-09,4.485329367806781e-06,7.897177700381665e-05
4.275481429830151e-08,0.08314471999999999,2.1571955617542517e-06,0.003790517792907942,1.2743806983731508e-08,6.778349722075635e-07,1.3497248955654352e-05,0.00013521111277278714,7.180292505913409e-05,1.1092803379107807e-08,1.1598781974355003e-16,4.000581884744651e-35,4.357419588960551e-08,0.054,0.0,0.0,0.05480851349098995,0.8777838537743003,0.00047015836025031936,3.990990602904356e-08,1.9921393377608e-05,0.06567814411599213,2.8740230885787088e-09,4.480532102301852e-06,7.915660381262876e-05
4.2821680340559875e-08,0.08314471999999999,2.1569473025991715e-06,0.0037958022812565623,1.2721909586822175e-08,6.78116922695765e-07,1.347396160270678e-05,0.00013530938332040478,7.197834951995864e-05,1.109028335150425e-08,1.1660471474387306e-16,3.822116110022683e-35,4.36139275336552e-08,0.054,0.0,0.0,0.05480261367678918,0.8777806329660655,0.00047090316583424114,4.006315933765777e-08,1.9973129029059406e-05,0.06567765707998914,2.8896264478553467e-09,4.47574597485267e-06,7.934143147190418e-05
4.288854638281824e-08,0.08314471999999999,2.1566991047233888e-06,0.003801085495841694,1.2700082661582694e-08,6.783983723594904e-07,1.3450754590412274e-05,0.000135407414827327,7.215381055205005e-05,1.1087771653750662e-08,1.1722346968101243e-16,3.8664564777076233e-35,4.365361276880259e-08,0.054,0.0,0.0,0.054796715246449766,0.8777774128629658,0.00047164777676352325,4.021663514196792e-08,2.002488607443363e-05,0.06567717014336474,2.905279231854111e-09,4.4709709407903775e-06,7.952625980352036e-05
4.295541242507661e-08,0.08314471999999999,2.156450968106708e-06,0.0038063674372909133,1.267832586619319e-08,6.786793220636758e-07,1.3427627473329325e-05,0.00013550520812334122,7.23293079933073e-05,1.1085268218205803e-08,1.1784408538856642e-16,4.292055990557867e-35,4.369325162459934e-08,0.054,0.0,0.0,0.05479081819952104,0.8777741934647563,0.00047239219328285833,4.037033306184704e-08,2.007666447010888e-05,0.06567668330611907,2.920981476082962e-09,4.46620695571599e-06,7.971108862985887e-05
4.302227846733498e-08,0.08314471999999999,2.156202892728896e-06,0.0038116481062322053,1.2656638861180255e-08,6.789597726739311e-07,1.3404579809564541e-05,0.0001356027640339004,7.250484168202037e-05,1.108277297793828e-08,1.184665626948284e-16,4.0219734282013976e-35,4.3732844130958085e-08,0.054,0.0,0.0,0.05478492253555108,0.877770974771192,0.00047313641563532594,4.052425271787332e-08,2.0128464172551535e-05,0.06567619656825201,2.936733215926421e-09,4.461453975498281e-06,7.98959177738028e-05
4.308245790536751e-08,0.08314471999999999,2.1559796772312595e-06,0.0038163996208044324,1.2637179948637044e-08,6.79211752213185e-07,1.338390448236879e-05,0.0001356903620676101,7.266285286009729e-05,1.108053421391955e-08,1.190283846176681e-16,4.0368485488420166e-35,4.37684377828967e-08,0.054,0.0,0.0,0.0547796176200333,0.8777680785492538,0.0004738060499394937,4.066296967967771e-08,2.0175102086126833e-05,0.06567575858914014,2.950952129682115e-09,4.457185666194969e-06,8.006226412892443e-05
