Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12),HX(9)
1.61781640485711e-14,0.066515776,0.938,0.0,3.176928120352949e-11,0.0,1.347846748751415e-14,2.114866535983292e-12,0.0,0.0,0.03936214380672904,0.009999999984115378,0.04999999650286979,0.0,0.0,0.001999999997885134,0.0,3.497116707861132e-09,1.3558466675959501e-14
2.2957568534833532e-14,0.066515776,0.938,0.0,4.508211218842124e-11,0.0,1.9102853390786524e-14,3.0010895573198237e-12,0.0,0.0,0.039362142331746605,0.009999999977458983,0.04999999504209208,0.0,0.0,0.001999999996998911,0.0,4.957888749061006e-09,1.926381398610213e-14
2.870738477811907e-14,0.066515776,0.938,0.0,5.6373133519553106e-11,0.0,2.3862122906753547e-14,3.752719752930559e-12,0.0,0.0,0.03936214108293153,0.009999999971813493,0.049999993805324466,0.0,0.0,0.001999999996247281,0.0,6.194651566255732e-09,2.4113630103871108e-14
3.445720102140461e-14,0.066515776,0.938,0.0,6.766416414740974e-11,0.0,2.861137305922993e-14,4.504347998630068e-12,0.0,0.0,0.039362139836097196,0.009999999966168007,0.049999992570537596,0.0,0.0,0.0019999999954956526,0.0,7.429433636852778e-09,2.897346480317261e-14
4.199072850996065e-14,0.066515776,0.938,0.0,8.245791871607395e-11,0.0,3.481880970477364e-14,5.4891438325735885e-12,0.0,0.0,0.03936213820546165,0.009999999958771173,0.04999999095568689,0.0,0.0,0.001999999994510857,0.0,9.04427803683491e-09,3.535604756745428e-14
4.9524255998516686e-14,0.066515776,0.938,0.0,9.725168916518033e-11,0.0,4.1009129876667724e-14,6.473936319317081e-12,0.0,0.0,0.03936213657821384,0.009999999951374341,0.049999989344223936,0.0,0.0,0.001999999993526064,0.0,1.0655734700089732e-08,4.175574547943473e-14
5.705778348707273e-14,0.066515776,0.938,0.0,1.1204547545007266e-10,0.0,4.718238077958056e-14,7.458725458956452e-12,0.0,0.0,0.03936213495434664,0.009999999943977508,0.04999998773614161,0.0,0.0,0.001999999992541275,0.0,1.2263810733649294e-08,4.817251134372517e-14
6.459131097562877e-14,0.066515776,0.938,0.0,1.2683927752621947e-10,0.0,5.333860948806095e-14,8.443511251587434e-12,0.0,0.0,0.03936213333385296,0.009999999936580678,0.04999998613143282,0.0,0.0,0.0019999999915564894,0.0,1.3868513229642018e-08,5.4606298095032474e-14
7.212483846418482e-14,0.066515776,0.938,0.0,1.41633095349214e-10,0.0,5.947786294674312e-14,9.428293697305578e-12,0.0,0.0,0.03936213171672573,0.009999999929183847,0.04999998453009049,0.0,0.0,0.0019999999905717073,0.0,1.5469849265310823e-08,6.105705879795436e-14
7.965836595274086e-14,0.066515776,0.938,0.0,1.5642692887477333e-10,0.0,6.560018797088926e-14,1.0413072796206257e-11,0.0,0.0,0.039362130102957894,0.009999999921787016,0.049999982932107556,0.0,0.0,0.0019999999895869277,0.0,1.7067825903060072e-08,6.752474664643675e-14
8.71918934412969e-14,0.066515776,0.938,0.0,1.7122077805873867e-10,0.0,7.170563124651611e-14,1.139784854838467e-11,0.0,0.0,0.039362128492542385,0.009999999914390188,0.04999998133747697,0.0,0.0,0.001999999988602152,0.0,1.8662450190466776e-08,7.400931496364735e-14
9.472542092985295e-14,0.066515776,0.938,0.0,1.860146428570745e-10,0.0,7.779423933092927e-14,1.238262095393584e-11,0.0,0.0,0.03936212688547219,0.009999999906993358,0.04999997974619171,0.0,0.0,0.00199999998761738,0.0,2.0253729160327197e-08,8.051071720144138e-14
1.02258948418409e-13,0.066515776,0.938,0.0,2.008085232258684e-10,0.0,8.386605865313883e-14,1.3367390012954609e-11,0.0,0.0,0.039362125281740275,0.009999999899596528,0.049999978158244744,0.0,0.0,0.0019999999866326104,0.0,2.1841669830693045e-08,8.702890693994596e-14
1.0979247590696504e-13,0.066515776,0.938,0.0,2.1560241912133064e-10,0.0,8.992113551411726e-14,1.4352155725535653e-11,0.0,0.0,0.03936212368133966,0.009999999892199702,0.049999976573629076,0.0,0.0,0.0019999999856478447,0.0,2.3426279204894058e-08,9.35638378873022e-14
1.1732600339552108e-13,0.066515776,0.938,0.0,2.30396330499794e-10,0.0,9.595951608708037e-14,1.533691809177346e-11,0.0,0.0,0.03936212208426333,0.009999999884802874,0.049999974992337715,0.0,0.0,0.0019999999846630825,0.0,2.5007564271562665e-08,1.0011546387938448e-13
1.3239305837263315e-13,0.066515776,0.938,0.0,2.5998419953166534e-10,0.0,1.0798637242548938e-13,1.7306432785596467e-11,0.0,0.0,0.03936211890005567,0.009999999870009222,0.049999971839700036,0.0,0.0,0.0019999999826935677,0.0,2.8160189363559924e-08,1.132686169774416e-13
1.458647483707888e-13,0.066515776,0.938,0.0,2.864392289700933e-10,0.0,1.1868367646278847e-13,1.9067395407655056e-11,0.0,0.0,0.03936211606419643,0.009999999856781986,0.04999996903206804,0.0,0.0,0.0019999999809326052,0.0,3.096781009709338e-08,1.2508514989739477e-13
1.5933643836894447e-13,0.066515776,0.938,0.0,3.128943072564627e-10,0.0,1.2932829088025074e-13,2.0828347330312172e-11,0.0,0.0,0.03936211323886118,0.009999999843554753,0.049999966234960086,0.0,0.0,0.0019999999791716536,0.0,3.376490680637415e-08,1.3695436859956429e-13
1.7280812836710013e-13,0.066515776,0.938,0.0,3.3934943414535305e-10,0.0,1.3992047524324623e-13,2.258928855410201e-11,0.0,0.0,0.039362110424010464,0.009999999830327521,0.04999996344833669,0.0,0.0,0.001999999977410712,0.0,3.6551518939415715e-08,1.4887601356973561e-13
