Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.194022532643666e-09,0.08314471999999999,2.323351642969283e-06,0.00024439681835169936,2.6669964879537403e-12,2.262207895548847e-10,1.1395366011030327e-10,2.2278885797854916e-12,2.633881397048813e-17,5.577981704967388e-15,-5.634263030378003e-25,-5.754648369991616e-25,9.858573043369143e-14,0.054,0.0,0.0,0.05873851823655283,0.8798778014749485,5.425632321175342e-12,1.4768776390644714e-25,2.743444330527725e-18,0.06599767652950282,3.869889791971205e-21
2.2055192858738957e-09,0.08314471999999999,2.323301202194018e-06,0.00024567204173294967,2.667934625585425e-12,2.286383629201294e-10,1.1518016807386947e-10,2.2760538406631063e-12,2.711897729306443e-17,5.667888339345572e-15,-3.7709771689102287e-26,-1.9811715915196892e-25,9.968788903374595e-14,0.054,0.0,0.0,0.05873724305991798,0.8798771638620039,5.51505961646602e-12,1.5499169299946502e-25,2.834067772370695e-18,0.0659976765786679,3.5662700172172954e-21
2.2170160391041253e-09,0.08314471999999999,2.323250763642505e-06,0.00024694720880938153,2.6688727285301686e-12,2.310688674704652e-10,1.1641298900053077e-10,2.3249894118848004e-12,2.791803394113504e-17,5.758743280071552e-15,1.5379856322348478e-24,2.495660454238614e-24,1.0079689418749401e-13,0.054,0.0,0.0,0.05873596793956569,0.8798765262772047,5.60548386428865e-12,1.62613950349536e-25,2.92716938817308e-18,0.06599767662782367,4.0193813750383415e-21
2.2258876092059897e-09,0.08314471999999999,2.323211843813414e-06,0.00024793116414232116,2.669596602950106e-12,2.3295322951735585e-10,1.173686189784059e-10,2.3632826073260934e-12,2.8547773434819534e-17,5.82950349622319e-15,3.1043989304611875e-28,1.3003320156681067e-34,1.0165735841164e-13,0.054,0.0,0.0,0.05873498402027264,0.8798760342985606,5.675945900047453e-12,1.6872091116887975e-25,3.0007400236528998e-18,0.06599767666574878,4.656661755223902e-21
2.234759179307854e-09,0.08314471999999999,2.3231729253083373e-06,0.0002489150859510745,2.6703204613463267e-12,2.348452961396804e-10,1.1832800412938597e-10,2.4020429973527997e-12,2.9189142428239973e-17,5.9008333716143094e-15,1.605110579689257e-27,8.162988371417372e-26,1.0252191736326452e-13,0.054,0.0,0.0,0.05873400013449052,0.8798755423366742,5.747008099736021e-12,1.750302626868277e-25,3.075843464640215e-18,0.06599767670366832,5.032645953198706e-21
2.2436307494097184e-09,0.08314471999999999,2.3231340081272074e-06,0.0002498989742381538,2.6710443056860698e-12,2.3674506935136947e-10,1.192911427208349e-10,2.4412743109662725e-12,2.9842309075913173e-17,5.97273507337267e-15,-2.2162121808892235e-27,-2.5353904037119615e-25,1.0339057889346203e-13,0.054,0.0,0.0,0.058733016282216804,0.8798750503915445,5.818673312844488e-12,1.8154782877263608e-25,3.152505126376379e-18,0.06599767674158236,4.907414616976405e-21
2.2525023195115828e-09,0.08314471999999999,2.323095092269948e-06,0.0002508828290049752,2.6717681379075336e-12,2.3865255117037576e-10,1.2025803300667923e-10,2.4809802911334587e-12,3.0507443303575146e-17,6.0452107665726795e-15,2.390453660624128e-27,3.438274387410839e-25,1.0426335088658255e-13,0.054,0.0,0.0,0.05873203246345011,0.8798745584631705,5.890944394317051e-12,1.8827957574014255e-25,3.2307507382566718e-18,0.06599767677949082,4.757257864667712e-21
2.2604867326032607e-09,0.08314471999999999,2.3230600691302658e-06,0.0002517682696366149,2.6724195781247376e-12,2.403758773377698e-10,1.2113144050870117e-10,2.5171246179924384e-12,3.111643826926983e-17,6.110931440896132e-15,1.6776556272049434e-26,2.2717848670238643e-26,1.0505236666940798e-13,0.054,0.0,0.0,0.05873114705520721,0.8798741157419598,5.9565087491183835e-12,1.945263208258019e-25,3.3025475868314986e-18,0.06599767681360369,4.8472308505588265e-21
2.2684711456949386e-09,0.08314471999999999,2.323025047062819e-06,0.00025265368311951634,2.673071011446365e-12,2.4210545059147317e-10,1.2200788416620547e-10,2.5536592161313324e-12,3.17353924531207e-17,6.177120375719683e-15,-5.540498546089013e-26,-3.656438586829416e-25,1.0584472413501517e-13,0.054,0.0,0.0,0.05873026167410232,0.8798736730343197,6.0225682632210136e-12,2.0095605873417554e-25,3.3756677368772037e-18,0.06599767684771206,5.041856386747613e-21
2.2764555587866165e-09,0.08314471999999999,2.3229900260675497e-06,0.0002535390694553622,2.6737224392273553e-12,2.4384127241069406e-10,1.228873626784469e-10,2.590586843131608e-12,3.23644334571757e-17,6.243779145048756e-15,-2.558852394616946e-26,1.9878840508772386e-25,1.0664042910020827e-13,0.054,0.0,0.0,0.058729376320133725,0.8798732303402502,6.0891250293029514e-12,2.075734462819268e-25,3.4501306079992533e-18,0.06599767688181593,5.1411972506538945e-21
2.2844399718782944e-09,0.08314471999999999,2.322955006144397e-06,0.000254424428645369,2.674373862804951e-12,2.455833442771318e-10,1.2376987473590203e-10,2.6279102657012496e-12,3.300369007498537e-17,6.31090932150747e-15,4.88087346941515e-26,3.596568499255925e-26,1.0743948740362185e-13,0.054,0.0,0.0,0.05872849099330021,0.8798727876597502,6.156181143678266e-12,2.1438324104685766e-25,3.525955832322308e-18,0.06599767691591531,5.115281030738766e-21
2.2924243849699723e-09,0.08314471999999999,2.3229199872933106e-06,0.00025530976069045025,2.6750252834990666e-12,2.4733166767494115e-10,1.2465541902027793e-10,2.6656322596659414e-12,3.3653292298615084e-17,6.378512476322772e-15,-3.3266322260039756e-26,-1.9944690167098073e-25,1.0824190490572335e-13,0.054,0.0,0.0,0.05872760569360087,0.8798723449928194,6.223738706310738e-12,2.213903031647969e-25,3.603163256021139e-18,0.06599767695001016,5.0744094480835054e-21
2.3004087980616502e-09,0.08314471999999999,2.3228849695142513e-06,0.000256195065591959,2.6756767026126046e-12,2.49086244090696e-10,1.2554399420452075e-10,2.7037556099603484e-12,3.4313371325594686e-17,6.446590179318105e-15,-2.7189184886891744e-26,1.5826065535865492e-25,1.090476874888157e-13,0.054,0.0,0.0,0.05872672042103435,0.8798719023394569,6.29179982082752e-12,2.2859959714638108e-25,3.681772940855156e-18,0.06599767698410051,5.053747791800057e-21
