Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0004318532408852407,0.043484688560000005,0.054,0.0,0.025721392620966614,0.0,0.0,4.543865848180072e-07,0.0,0.0,1.115681450711673e-05,0.8671393036895144,0.0,0.0,0.0,0.06599954561341534,0.0
0.00043318320777178493,0.043484688560000005,0.054,0.0,0.025721428252280958,0.0,0.0,4.529922042423674e-07,0.0,0.0,1.1122577573351396e-05,0.8671392858738572,0.0,0.0,0.0,0.06599954700779591,0.0
0.0004345131746583292,0.043484688560000005,0.054,0.0,0.025721463665579855,0.0,0.0,4.5160635541149974e-07,0.0,0.0,1.108855012328016e-05,0.8671392681672077,0.0,0.0,0.0,0.06599954839364472,0.0
0.0004358431415448734,0.043484688560000005,0.054,0.0,0.02572149886285816,0.0,0.0,4.5022896025976046e-07,0.0,0.0,1.1054730240127957e-05,0.8671392505685686,0.0,0.0,0.0,0.06599954977103988,0.0
0.00043717310843141766,0.043484688560000005,0.054,0.0,0.025721533846086445,0.0,0.0,4.4885994167101374e-07,0.0,0.0,1.1021116030433305e-05,0.8671392330769545,0.0,0.0,0.0,0.06599955114005848,0.0
0.0004385030753179619,0.043484688560000005,0.054,0.0,0.025721568617211386,0.0,0.0,4.4749922346423996e-07,0.0,0.0,1.0987705623694913e-05,0.867139215691392,0.0,0.0,0.0,0.0659995525007767,0.0
0.00043983304220450615,0.043484688560000005,0.054,0.0,0.025721603178156142,0.0,0.0,4.4614673037940443e-07,0.0,0.0,1.0954497172024728e-05,0.8671391984109198,0.0,0.0,0.0,0.06599955385326976,0.0
0.0004411630090910504,0.043484688560000005,0.054,0.0,0.025721637530820678,0.0,0.0,4.448023880635829e-07,0.0,0.0,1.0921488849807237e-05,0.8671391812345873,0.0,0.0,0.0,0.06599955519761211,0.0
0.00044249297597759464,0.043484688560000005,0.054,0.0,0.02572167167708212,0.0,0.0,4.434661230573328e-07,0.0,0.0,1.0888678853364899e-05,0.8671391641614566,0.0,0.0,0.0,0.06599955653387711,0.0
0.0004438229428641389,0.043484688560000005,0.054,0.0,0.025721705618795134,0.0,0.0,4.4213786278131514e-07,0.0,0.0,1.085606540062961e-05,0.8671391471906003,0.0,0.0,0.0,0.06599955786213738,0.0
0.00044515290975068314,0.043484688560000005,0.054,0.0,0.025721739357792203,0.0,0.0,4.408175355231527e-07,0.0,0.0,1.0823646730820054e-05,0.8671391303211016,0.0,0.0,0.0,0.06599955918246464,0.0
0.0004464828766372274,0.043484688560000005,0.054,0.0,0.025721772895883996,0.0,0.0,4.3950507042452307e-07,0.0,0.0,1.0791421104124798e-05,0.8671391135520556,0.0,0.0,0.0,0.06599956049492975,0.0
0.0004478128435237716,0.043484688560000005,0.054,0.0,0.025721806234859684,0.0,0.0,4.382003974684824e-07,0.0,0.0,1.0759386801391047e-05,0.8671390968825679,0.0,0.0,0.0,0.06599956179960269,0.0
0.00044914281041031587,0.043484688560000005,0.054,0.0,0.025721839376487258,0.0,0.0,4.3690344746701523e-07,0.0,0.0,1.0727542123818941e-05,0.8671390803117542,0.0,0.0,0.0,0.06599956309655268,0.0
0.0004504727772968601,0.043484688560000005,0.054,0.0,0.02572187232251384,0.0,0.0,4.3561415204880254e-07,0.0,0.0,1.0695885392661223e-05,0.8671390638387408,0.0,0.0,0.0,0.06599956438584811,0.0
0.00045180274418340436,0.043484688560000005,0.054,0.0,0.025721905074665975,0.0,0.0,4.3433244364720593e-07,0.0,0.0,1.0664414948928243e-05,0.8671390474626649,0.0,0.0,0.0,0.06599956566755652,0.0
0.0004531327110699486,0.043484688560000005,0.054,0.0,0.02572193763464996,0.0,0.0,4.330582554884666e-07,0.0,0.0,1.0633129153098152e-05,0.8671390311826729,0.0,0.0,0.0,0.06599956694174469,0.0
0.00045446267795649285,0.043484688560000005,0.054,0.0,0.025721970004152137,0.0,0.0,4.317915215801072e-07,0.0,0.0,1.0602026384832166e-05,0.8671390149979217,0.0,0.0,0.0,0.06599956820847859,0.0
0.0004557926448430371,0.043484688560000005,0.054,0.0,0.025722002184839162,0.0,0.0,4.3053217669953903e-07,0.0,0.0,1.0571105042694821e-05,0.8671389989075782,0.0,0.0,0.0,0.06599956946782348,0.0
0.00045712261172958134,0.043484688560000005,0.054,0.0,0.02572203417835829,0.0,0.0,4.292801563828671e-07,0.0,0.0,1.0540363543879122e-05,0.8671389829108187,0.0,0.0,0.0,0.06599957071984379,0.0
0.0004584525786161256,0.043484688560000005,0.054,0.0,0.025722065986337705,0.0,0.0,4.280353969138914e-07,0.0,0.0,1.0509800323936448e-05,0.8671389670068288,0.0,0.0,0.0,0.06599957196460327,0.0
0.00045978254550266983,0.043484688560000005,0.054,0.0,0.02572209761038673,0.0,0.0,4.267978353132964e-07,0.0,0.0,1.0479413836511166e-05,0.8671389511948044,0.0,0.0,0.0,0.06599957320216485,0.0
0.0004611125123892141,0.043484688560000005,0.054,0.0,0.025722129052096147,0.0,0.0,4.255674093280304e-07,0.0,0.0,1.0449202553079814e-05,0.8671389354739498,0.0,0.0,0.0,0.06599957443259083,0.0
0.0004624424792757583,0.043484688560000005,0.054,0.0,0.025722160313038436,0.0,0.0,4.2434405742086605e-07,0.0,0.0,1.0419164962694817e-05,0.8671389198434787,0.0,0.0,0.0,0.06599957565594275,0.0
0.00046377244616230257,0.043484688560000005,0.054,0.0,0.025722191394768064,0.0,0.0,4.2312771876014096e-07,0.0,0.0,1.0389299571732558e-05,0.8671389043026138,0.0,0.0,0.0,0.06599957687228139,0.0
0.0004651024130488468,0.043484688560000005,0.054,0.0,0.0257222222988217,0.0,0.0,4.21918333209675e-07,0.0,0.0,1.0359604903645835e-05,0.8671388888505869,0.0,0.0,0.0,0.06599957808166693,0.0
0.00046643237993539106,0.043484688560000005,0.054,0.0,0.025722253026718513,0.0,0.0,4.207158413188588e-07,0.0,0.0,1.0330079498720477e-05,0.8671388734866387,0.0,0.0,0.0,0.06599957928415884,0.0
