Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10)
1.615587803912512e-07,0.05595639656,0.054,0.0,0.0,0.02074883921826039,0.8705258867691751,0.0,0.0,0.0,0.066,0.0,0.018948226461649686
1.6283958049343542e-07,0.05595639656,0.054,0.0,0.0,0.020670953027353535,0.8704869436737218,0.0,0.0,0.0,0.066,0.0,0.01902611265255654
1.6412038059561964e-07,0.05595639656,0.054,0.0,0.0,0.02059365281440611,0.8704482935672482,0.0,0.0,0.0,0.066,0.0,0.019103412865503967
1.6540118069780385e-07,0.05595639656,0.054,0.0,0.0,0.020516931965924818,0.8704099331430074,0.0,0.0,0.0,0.066,0.0,0.01918013371398526
1.6668198079998807e-07,0.05595639656,0.054,0.0,0.0,0.020440783967845513,0.8703718591439678,0.0,0.0,0.0,0.066,0.0,0.019256281712064564
1.6796278090217228e-07,0.05595639656,0.054,0.0,0.0,0.020365202403667466,0.8703340683618788,0.0,0.0,0.0,0.066,0.0,0.01933186327624261
1.692435810043565e-07,0.05595639656,0.054,0.0,0.0,0.020290180952629702,0.87029655763636,0.0,0.0,0.0,0.066,0.0,0.019406884727280374
1.705243811065407e-07,0.05595639656,0.054,0.0,0.0,0.020215713387928005,0.8702593238540092,0.0,0.0,0.0,0.066,0.0,0.01948135229198207
1.7180518120872492e-07,0.05595639656,0.054,0.0,0.0,0.020141793574971808,0.8702223639475309,0.0,0.0,0.0,0.066,0.0,0.01955527210493827
1.7308598131090914e-07,0.05595639656,0.054,0.0,0.0,0.020068415469679787,0.8701856748948849,0.0,0.0,0.0,0.066,0.0,0.01962865021023029
1.7436678141309335e-07,0.05595639656,0.054,0.0,0.0,0.019995573116813117,0.8701492537184516,0.0,0.0,0.0,0.066,0.0,0.01970149256309696
1.7564758151527757e-07,0.05595639656,0.054,0.0,0.0,0.019923260648345598,0.870113097484218,0.0,0.0,0.0,0.066,0.0,0.01977380503156448
1.7692838161746178e-07,0.05595639656,0.054,0.0,0.0,0.019851472281869526,0.8700772033009797,0.0,0.0,0.0,0.066,0.0,0.01984559339804055
1.78209181719646e-07,0.05595639656,0.054,0.0,0.0,0.019780202319036475,0.8700415683195633,0.0,0.0,0.0,0.066,0.0,0.019916863360873602
1.794899818218302e-07,0.05595639656,0.054,0.0,0.0,0.01970944514403209,0.870006189732061,0.0,0.0,0.0,0.066,0.0,0.019987620535877985
1.8077078192401442e-07,0.05595639656,0.054,0.0,0.0,0.01963919522208405,0.8699710647710869,0.0,0.0,0.0,0.066,0.0,0.020057870457826026
1.8205158202619864e-07,0.05595639656,0.054,0.0,0.0,0.01956944709800231,0.8699361907090462,0.0,0.0,0.0,0.066,0.0,0.020127618581907765
1.8333238212838285e-07,0.05595639656,0.054,0.0,0.0,0.019500195394750838,0.8699015648574205,0.0,0.0,0.0,0.066,0.0,0.02019687028515924
1.8461318223056707e-07,0.05595639656,0.054,0.0,0.0,0.019431434812050074,0.86986718456607,0.0,0.0,0.0,0.066,0.0,0.020265630867860002
1.8589398233275128e-07,0.05595639656,0.054,0.0,0.0,0.019363160125009306,0.8698330472225496,0.0,0.0,0.0,0.066,0.0,0.02033390555490077
