Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49),H2NX(30)
0.0073492108507839885,0.05595639656,0.054,0.0,0.0,9.727682235723138e-07,0.8601519542588119,0.0,0.0,0.0,0.0659999985706925,0.0,0.039696091482343605,1.429307277518742e-09,9.915891765047151e-15,0.0
0.007377311864149592,0.05595639656,0.054,0.0,0.0,9.690638639313678e-07,0.8601519524039104,0.0,0.0,0.0,0.06599999857613538,0.0,0.03969609519214615,1.4238643808654091e-09,9.915893618428718e-15,0.0
0.007405412877515196,0.05595639656,0.054,0.0,0.0,9.653876204970625e-07,0.860151950563088,0.0,0.0,0.0,0.06599999858153698,0.0,0.03969609887379116,1.4184627960372283e-09,9.915895457743229e-15,0.0
0.0074335138908808,0.05595639656,0.054,0.0,0.0,9.617391744144503e-07,0.8601519487361847,0.0,0.0,0.0,0.0659999985868977,0.0,0.03969610252759798,1.4131020545321154e-09,9.915897283150222e-15,0.0
0.0074616149042464035,0.05595639656,0.054,0.0,0.0,9.581182116317755e-07,0.8601519469230431,0.0,0.0,0.0,0.06599999859221807,0.0,0.039696106153881125,1.4077816949054604e-09,9.915899094806807e-15,0.0
0.007489715917612007,0.05595639656,0.054,0.0,0.0,9.545244228103668e-07,0.8601519451235087,0.0,0.0,0.0,0.06599999859749849,0.0,0.039696109752950376,1.4025012626377207e-09,9.915900892867755e-15,0.0
0.007517816930977611,0.05595639656,0.054,0.0,0.0,9.509575032365557e-07,0.8601519433374282,0.0,0.0,0.0,0.06599999860273946,0.0,0.0396961133251109,1.397260310005007e-09,9.915902677485521e-15,0.0
0.007545917944343215,0.05595639656,0.054,0.0,0.0,9.474171527355621e-07,0.860151941564652,0.0,0.0,0.0,0.06599999860794135,0.0,0.039696116870663316,1.392058395952548e-09,9.915904448810282e-15,0.0
0.007574018957708819,0.05595639656,0.054,0.0,0.0,9.439030755872952e-07,0.8601519398050316,0.0,0.0,0.0,0.06599999861310467,0.0,0.03969612038990377,1.386895085970978e-09,9.915906206989996e-15,0.0
0.007602119971074422,0.05595639656,0.054,0.0,0.0,9.404149804440219e-07,0.8601519380584216,0.0,0.0,0.0,0.0659999986182298,0.0,0.03969612388312405,1.381769951975362e-09,9.91590795217042e-15,0.0
0.007630220984440026,0.05595639656,0.054,0.0,0.0,9.369525802498566e-07,0.8601519363246777,0.0,0.0,0.0,0.0659999986233172,0.0,0.03969612735061163,1.3766825721868996e-09,9.915909684495183e-15,0.0
0.00765832199780563,0.05595639656,0.054,0.0,0.0,9.335155921620213e-07,0.8601519346036586,0.0,0.0,0.0,0.06599999862836722,0.0,0.03969613079264977,1.3716325310172308e-09,9.91591140410579e-15,0.0
0.007686423011171234,0.05595639656,0.054,0.0,0.0,9.301037374738337e-07,0.8601519328952246,0.0,0.0,0.0,0.06599999863338034,0.0,0.03969613420951755,1.3666194189552807e-09,9.915913111141662e-15,0.0
0.007714524024536837,0.05595639656,0.054,0.0,0.0,9.267167415393794e-07,0.8601519311992384,0.0,0.0,0.0,0.06599999863835694,0.0,0.03969613760149008,1.3616428324565757e-09,9.915914805740243e-15,0.0
0.007742625037902441,0.05595639656,0.054,0.0,0.0,9.233543336998217e-07,0.8601519295155642,0.0,0.0,0.0,0.06599999864329739,0.0,0.03969614096883838,1.3567023738349699e-09,9.915916488036926e-15,0.0
0.007770726051268045,0.05595639656,0.054,0.0,0.0,9.200162472113126e-07,0.8601519278440686,0.0,0.0,0.0,0.06599999864820214,0.0,0.03969614431182959,1.3517976511567247e-09,9.91591815816517e-15,0.0
0.007798827064633649,0.05595639656,0.054,0.0,0.0,9.167022191744629e-07,0.86015192618462,0.0,0.0,0.0,0.0659999986530715,0.0,0.03969614763072699,1.3469282781368692e-09,9.915919816256498e-15,0.0
0.007826928077999253,0.05595639656,0.054,0.0,0.0,9.134119904653279e-07,0.8601519245370883,0.0,0.0,0.0,0.0659999986579059,0.0,0.0396961509257901,1.342093874037806e-09,9.915921462440565e-15,0.0
0.007855029091364858,0.05595639656,0.054,0.0,0.0,9.101453056678784e-07,0.860151922901346,0.0,0.0,0.0,0.06599999866270571,0.0,0.039696154197274715,1.3372940635700813e-09,9.915923096845169e-15,0.0
0.007883130104730462,0.05595639656,0.054,0.0,0.0,9.069019130079145e-07,0.8601519212772669,0.0,0.0,0.0,0.0659999986674713,0.0,0.039696157445432964,1.3325284767952843e-09,9.915924719596258e-15,0.0
0.007911231118096067,0.05595639656,0.054,0.0,0.0,9.03681564288387e-07,0.8601519196647267,0.0,0.0,0.0,0.06599999867220305,0.0,0.03969616067051342,1.3277967490310143e-09,9.915926330818014e-15,0.0
0.007939332131461672,0.05595639656,0.054,0.0,0.0,9.004840148260936e-07,0.8601519180636029,0.0,0.0,0.0,0.06599999867690126,0.0,0.039696163872761106,1.3230985207578645e-09,9.915927930632856e-15,0.0
0.007967433144827276,0.05595639656,0.054,0.0,0.0,8.973090233897139e-07,0.8601519164737745,0.0,0.0,0.0,0.06599999868156635,0.0,0.039696167052417616,1.318433437528376e-09,9.915929519161467e-15,0.0
0.007995534158192881,0.05595639656,0.054,0.0,0.0,8.941563521391511e-07,0.8601519148951229,0.0,0.0,0.0,0.06599999868619866,0.0,0.03969617020972115,1.3138011498779118e-09,9.915931096522855e-15,0.0
0.008023635171558486,0.05595639656,0.054,0.0,0.0,8.91025766566149e-07,0.86015191332753,0.0,0.0,0.0,0.06599999869079849,0.0,0.03969617334490657,1.3092013132374003e-09,9.915932662834348e-15,0.0
0.00805173618492409,0.05595639656,0.054,0.0,0.0,8.879170354361523e-07,0.8601519117708806,0.0,0.0,0.0,0.06599999869536621,0.0,0.039696176458205425,1.3046335878479115e-09,9.915934218211627e-15,0.0
0.008079837198289695,0.05595639656,0.054,0.0,0.0,8.848299307313781e-07,0.8601519102250602,0.0,0.0,0.0,0.06599999869990214,0.0,0.03969617954984607,1.3000976386770112e-09,9.915935762768769e-15,0.0
0.0081079382116553,0.05595639656,0.054,0.0,0.0,8.817642275950749e-07,0.8601519086899565,0.0,0.0,0.0,0.06599999870440666,0.0,0.039696182620053706,1.2955931353368564e-09,9.915937296618285e-15,0.0
0.008136039225020904,0.05595639656,0.054,0.0,0.0,8.787197042769338e-07,0.8601519071654581,0.0,0.0,0.0,0.06599999870888006,0.0,0.03969618566905041,1.2911197520039864e-09,9.915938819871117e-15,0.0
0.008164140238386509,0.05595639656,0.054,0.0,0.0,8.756961420796279e-07,0.8601519056514558,0.0,0.0,0.0,0.06599999871332263,0.0,0.0396961886970552,1.286677167340774e-09,9.915940332636685e-15,0.0
0.008192241251752113,0.05595639656,0.054,0.0,0.0,8.726933253064521e-07,0.8601519041478414,0.0,0.0,0.0,0.06599999871773474,0.0,0.039696191704284074,1.282265064418489e-09,9.915941835022891e-15,0.0
0.008220342265117718,0.05595639656,0.054,0.0,0.0,8.697110412100372e-07,0.8601519026545082,0.0,0.0,0.0,0.06599999872211669,0.0,0.0396961946909501,1.277883130641943e-09,9.915943327136184e-15,0.0
0.008248443278483323,0.05595639656,0.054,0.0,0.0,8.667490799421106e-07,0.8601519011713515,0.0,0.0,0.0,0.06599999872646876,0.0,0.03969619765726344,1.2735310576756709e-09,9.91594480908156e-15,0.0
0.008276544291848927,0.05595639656,0.054,0.0,0.0,8.638072345042832e-07,0.8601518996982676,0.0,0.0,0.0,0.06599999873079127,0.0,0.039696200603431396,1.269208541371621e-09,9.91594628096258e-15,0.0
0.008304645305214532,0.05595639656,0.054,0.0,0.0,8.608853006998327e-07,0.860151898235154,0.0,0.0,0.0,0.06599999873508453,0.0,0.03969620352965846,1.2649152816983086e-09,9.915947742881405e-15,0.0
0.008332746318580136,0.05595639656,0.054,0.0,0.0,8.579830770864642e-07,0.8601518967819102,0.0,0.0,0.0,0.06599999873934884,0.0,0.03969620643614638,1.2606509826714067e-09,9.915949194938824e-15,0.0
0.008360847331945741,0.05595639656,0.054,0.0,0.0,8.55100364930023e-07,0.8601518953384361,0.0,0.0,0.0,0.06599999874358445,0.0,0.03969620932309416,1.2564153522857317e-09,9.91595063723425e-15,0.0
0.008388948345311346,0.05595639656,0.054,0.0,0.0,8.522369681591374e-07,0.8601518939046342,0.0,0.0,0.0,0.0659999987477917,0.0,0.03969621219069818,1.252208102448604e-09,9.915952069865802e-15,0.0
0.00841704935867695,0.05595639656,0.054,0.0,0.0,8.493926933207704e-07,0.8601518924804074,0.0,0.0,0.0,0.06599999875197085,0.0,0.03969621503915218,1.248028948914532e-09,9.915953492930262e-15,0.0
0.008445150372042555,0.05595639656,0.054,0.0,0.0,8.465673495366578e-07,0.8601518910656597,0.0,0.0,0.0,0.06599999875612218,0.0,0.03969621786864729,1.2438776112212122e-09,9.915954906523113e-15,0.0
0.00847325138540816,0.05595639656,0.054,0.0,0.0,8.437607484606155e-07,0.8601518896602973,0.0,0.0,0.0,0.06599999876024598,0.0,0.039696220679372174,1.239753812626795e-09,9.915956310738611e-15,0.0
0.008501352398773764,0.05595639656,0.054,0.0,0.0,8.409727042366901e-07,0.8601518882642271,0.0,0.0,0.0,0.06599999876434252,0.0,0.03969622347151293,1.2356572800483954e-09,9.915957705669729e-15,0.0
0.008529453412139369,0.05595639656,0.054,0.0,0.0,8.382030334581401e-07,0.8601518868773568,0.0,0.0,0.0,0.06599999876841205,0.0,0.03969622624525324,1.2315877440018224e-09,9.915959091408228e-15,0.0
0.008557554425504973,0.05595639656,0.054,0.0,0.0,8.354515551272227e-07,0.8601518854995962,0.0,0.0,0.0,0.06599999877245485,0.0,0.03969622900077439,1.2275449385424955e-09,9.915960468044676e-15,0.0
0.008585655438870578,0.05595639656,0.054,0.0,0.0,8.32718090615772e-07,0.8601518841308559,0.0,0.0,0.0,0.0659999987764712,0.0,0.03969623173825523,1.2235286012075151e-09,9.915961835668422e-15,0.0
0.008613756452236183,0.05595639656,0.054,0.0,0.0,8.300024636265474e-07,0.8601518827710471,0.0,0.0,0.0,0.06599999878046134,0.0,0.03969623445787235,1.2195384729588769e-09,9.915963194367692e-15,0.0
0.008641857465601787,0.05595639656,0.054,0.0,0.0,8.273045001553371e-07,0.8601518814200834,0.0,0.0,0.0,0.0659999987844255,0.0,0.03969623715979999,1.2155742981277854e-09,9.915964544229526e-15,0.0
0.008669958478967392,0.05595639656,0.054,0.0,0.0,8.246240284537989e-07,0.8601518800778782,0.0,0.0,0.0,0.06599999878836398,0.0,0.039696239844210154,1.211635824360057e-09,9.91596588533986e-15,0.0
0.008698059492332997,0.05595639656,0.054,0.0,0.0,8.219608789930196e-07,0.860151878744347,0.0,0.0,0.0,0.065999998792277,0.0,0.039696242511272635,1.2077228025625742e-09,9.915967217783514e-15,0.0
